date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,2,0,0
2020-3-10,10,0,0
2020-3-11,12,0,1
2020-3-12,23,0,1
2020-3-13,33,0,1
2020-3-14,38,0,1
2020-3-15,42,0,1
2020-3-16,51,0,1
2020-3-17,55,0,1
2020-3-18,59,0,2
2020-3-19,64,0,2
2020-3-20,70,0,2
2020-3-21,76,2,2
2020-3-22,89,2,2
2020-3-23,104,2,4
2020-3-24,123,10,5
2020-3-25,146,17,5
2020-3-26,174,17,6
2020-3-27,186,31,8
2020-3-28,197,31,10
2020-3-29,212,33,10
2020-3-30,223,44,11
2020-3-31,243,52,15
2020-4-1,259,67,15
2020-4-2,277,76,16
2020-4-3,304,89,17
2020-4-4,333,99,20
2020-4-5,361,104,20
2020-4-6,377,116,21
2020-4-7,383,131,22
2020-4-8,400,154,22
2020-4-9,409,165,23
2020-4-10,416,182,23
2020-4-11,433,197,23
2020-4-12,446,217,23
2020-4-13,467,232,23
2020-4-14,475,248,24
2020-4-15,494,251,25
2020-4-16,518,277,26
2020-4-17,539,283,26
2020-4-18,548,302,26
2020-4-19,562,314,26
2020-4-20,584,327,26
2020-4-21,609,345,26
2020-4-22,634,356,27
2020-4-23,663,385,27
2020-4-24,678,394,27
2020-4-25,712,403,27
2020-4-26,726,410,28
2020-4-27,736,422,28
2020-4-28,750,431,30
2020-4-29,766,455,30
2020-4-30,773,470,31
2020-5-1,782,488,31
