date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,1,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,3,0,0
2020-3-3,5,0,0
2020-3-4,12,0,0
2020-3-5,12,0,0
2020-3-6,17,0,0
2020-3-7,17,0,0
2020-3-8,19,0,0
2020-3-9,20,0,0
2020-3-10,20,0,0
2020-3-11,20,0,0
2020-3-12,24,8,1
2020-3-13,26,8,2
2020-3-14,37,12,3
2020-3-15,48,12,4
2020-3-16,54,12,4
2020-3-17,60,12,4
2020-3-18,74,12,7
2020-3-19,87,32,9
2020-3-20,90,32,11
2020-3-21,139,32,15
2020-3-22,201,65,17
2020-3-23,230,65,17
2020-3-24,264,24,19
2020-3-25,302,65,21
2020-3-26,367,29,25
2020-3-27,409,29,26
2020-3-28,454,31,29
2020-3-29,511,31,31
2020-3-30,584,37,35
2020-3-31,716,46,44
2020-4-1,847,61,58
2020-4-2,986,61,86
2020-4-3,1171,62,105
2020-4-4,1251,90,130
2020-4-5,1320,90,152
2020-4-6,1423,90,173
2020-4-7,1468,113,193
2020-4-8,1572,237,205
2020-4-9,1666,347,235
2020-4-10,1761,405,256
2020-4-11,1825,460,275
2020-4-12,1914,591,293
2020-4-13,1983,601,313
2020-4-14,2070,691,326
2020-4-15,2160,708,336
2020-4-16,2268,783,348
2020-4-17,2418,846,364
2020-4-18,2534,894,367
2020-4-19,2629,1047,375
2020-4-20,2718,1099,384
2020-4-21,2811,1152,392
2020-4-22,2910,1204,402
2020-4-23,3007,1355,407
2020-4-24,3127,1408,415
2020-4-25,3256,1479,419
2020-4-26,3382,1508,425
2020-4-27,3517,1558,432
2020-4-28,3649,1651,437
2020-4-29,3848,1702,444
2020-4-30,4006,1779,450
2020-5-1,4154,1821,453
