date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,1,0,0
2020-3-12,1,1,0
2020-3-13,1,0,0
2020-3-14,1,1,0
2020-3-15,1,1,0
2020-3-16,2,1,0
2020-3-17,39,1,0
2020-3-18,39,1,0
2020-3-19,53,1,0
2020-3-20,75,1,0
2020-3-21,88,1,0
2020-3-22,113,1,1
2020-3-23,133,1,1
2020-3-24,164,1,1
2020-3-25,188,1,1
2020-3-26,224,1,3
2020-3-27,267,1,3
2020-3-28,308,1,3
2020-3-29,334,1,6
2020-3-30,370,10,8
2020-3-31,376,10,12
2020-4-1,390,10,14
2020-4-2,428,10,15
2020-4-3,439,16,16
2020-4-4,466,21,17
2020-4-5,501,26,18
2020-4-6,525,31,21
2020-4-7,545,39,22
2020-4-8,564,52,23
2020-4-9,583,58,25
2020-4-10,601,71,26
2020-4-11,601,71,26
2020-4-12,638,128,29
2020-4-13,646,128,29
2020-4-14,659,128,31
2020-4-15,673,169,33
2020-4-16,673,169,33
2020-4-17,696,191,35
2020-4-18,704,205,35
2020-4-19,713,235,36
2020-4-20,717,248,37
2020-4-21,717,282,37
2020-4-22,723,309,37
2020-4-23,723,333,37
2020-4-24,731,344,40
2020-4-25,738,344,40
2020-4-26,738,344,40
2020-4-27,743,385,40
2020-4-28,743,398,41
2020-4-29,743,423,42
2020-4-30,745,468,42
2020-5-1,745,468,43
2020-5-2,747,472,44
