date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,2,0,0
2020-3-7,8,0,0
2020-3-8,12,0,1
2020-3-9,12,0,1
2020-3-10,17,0,1
2020-3-11,19,0,1
2020-3-12,19,0,1
2020-3-13,31,0,2
2020-3-14,34,1,2
2020-3-15,45,1,2
2020-3-16,56,1,2
2020-3-17,68,3,2
2020-3-18,79,3,2
2020-3-19,97,3,3
2020-3-20,128,3,3
2020-3-21,158,3,4
2020-3-22,266,3,4
2020-3-23,301,3,4
2020-3-24,387,52,6
2020-3-25,387,52,8
2020-3-26,502,63,9
2020-3-27,589,72,13
2020-3-28,690,72,18
2020-3-29,745,72,19
2020-3-30,820,228,23
2020-3-31,1054,240,27
2020-4-1,1054,248,28
2020-4-2,1133,256,36
2020-4-3,1265,266,39
2020-4-4,1451,279,43
2020-4-5,1451,280,44
2020-4-6,1554,325,48
2020-4-7,1628,338,56
2020-4-8,1715,358,63
2020-4-9,1795,365,72
2020-4-10,1975,375,82
2020-4-11,1975,440,83
2020-4-12,2142,468,90
2020-4-13,2208,515,97
2020-4-14,2277,559,102
2020-4-15,2443,596,111
2020-4-16,2571,631,115
2020-4-17,2669,666,123
2020-4-18,2758,685,129
2020-4-19,2839,709,132
2020-4-20,2941,737,136
2020-4-21,3031,840,147
2020-4-22,3144,872,152
2020-4-23,3435,919,165
2020-4-24,3607,976,176
2020-4-25,3780,1030,185
2020-4-26,3892,1107,192
2020-4-27,4003,1140,197
2020-4-28,4127,1162,207
2020-4-29,4285,1192,214
2020-4-30,4428,1256,218
2020-5-1,4532,1292,225
