date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,1,0,0
2020-3-12,4,0,0
2020-3-13,8,0,0
2020-3-14,18,0,0
2020-3-15,26,0,0
2020-3-16,52,0,0
2020-3-17,78,1,0
2020-3-18,84,1,0
2020-3-19,115,1,0
2020-3-20,136,1,0
2020-3-21,160,1,0
2020-3-22,194,2,0
2020-3-23,235,2,0
2020-3-24,249,14,0
2020-3-25,265,16,0
2020-3-26,290,18,1
2020-3-27,329,28,1
2020-3-28,407,30,1
2020-3-29,424,30,3
2020-3-30,482,30,3
2020-3-31,532,30,3
2020-4-1,571,31,4
2020-4-2,663,33,7
2020-4-3,736,43,7
2020-4-4,770,43,7
2020-4-5,822,57,7
2020-4-6,833,62,8
2020-4-7,853,87,8
2020-4-8,881,114,9
2020-4-9,921,138,10
2020-4-10,937,149,12
2020-4-11,967,173,13
2020-4-12,1013,197,13
2020-4-13,1039,211,14
2020-4-14,1067,265,16
2020-4-15,1111,297,17
2020-4-16,1159,358,18
2020-4-17,1201,402,19
2020-4-18,1248,523,20
2020-4-19,1291,545,20
2020-4-20,1339,580,22
2020-4-21,1401,609,24
2020-4-22,1473,633,24
2020-4-23,1523,659,24
2020-4-24,1596,728,27
2020-4-25,1677,803,28
2020-4-26,1746,833,28
2020-4-27,1808,848,29
2020-4-28,1867,866,30
2020-4-29,1932,900,30
2020-4-30,2066,929,32
2020-5-1,2148,977,33
2020-5-2,2273,1010,33
