date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,4,0,0
2020-1-27,5,0,0
2020-1-28,5,0,0
2020-1-29,6,0,0
2020-1-30,9,2,0
2020-1-31,9,2,0
2020-2-1,12,2,0
2020-2-2,12,2,0
2020-2-3,12,2,0
2020-2-4,13,2,0
2020-2-5,13,2,0
2020-2-6,14,2,0
2020-2-7,15,2,0
2020-2-8,15,2,0
2020-2-9,15,2,0
2020-2-10,15,2,0
2020-2-11,15,2,0
2020-2-12,15,2,0
2020-2-13,15,8,0
2020-2-14,15,8,0
2020-2-15,15,8,0
2020-2-16,15,8,0
2020-2-17,15,10,0
2020-2-18,15,10,0
2020-2-19,15,10,0
2020-2-20,15,10,0
2020-2-21,15,11,0
2020-2-22,15,11,0
2020-2-23,15,11,0
2020-2-24,15,11,0
2020-2-25,15,11,0
2020-2-26,15,11,0
2020-2-27,15,11,0
2020-2-28,15,11,0
2020-2-29,25,11,0
2020-3-1,27,11,1
2020-3-2,30,11,1
2020-3-3,39,11,1
2020-3-4,52,11,2
2020-3-5,55,21,2
2020-3-6,60,21,2
2020-3-7,63,21,2
2020-3-8,76,21,3
2020-3-9,91,21,3
2020-3-10,107,21,3
2020-3-11,128,21,3
2020-3-12,128,21,3
2020-3-13,200,23,3
2020-3-14,250,23,3
2020-3-15,297,23,3
2020-3-16,377,23,3
2020-3-17,452,23,5
2020-3-18,568,23,6
2020-3-19,681,26,6
2020-3-20,791,26,7
2020-3-21,1071,26,7
2020-3-22,1549,88,7
2020-3-23,1682,88,7
2020-3-24,2044,115,8
2020-3-25,2364,119,8
2020-3-26,2810,172,13
2020-3-27,3143,194,13
2020-3-28,3640,244,14
2020-3-29,3984,244,16
2020-3-30,4361,257,17
2020-3-31,4559,358,18
2020-4-1,4862,422,20
2020-4-2,5116,520,24
2020-4-3,5330,649,28
2020-4-4,5550,701,30
2020-4-5,5687,757,35
2020-4-6,5797,1080,40
2020-4-7,5895,1080,45
2020-4-8,6010,1080,50
2020-4-9,6108,1472,51
2020-4-10,6215,1793,54
2020-4-11,6303,1806,57
2020-4-12,6315,1806,60
2020-4-13,6351,1806,61
2020-4-14,6415,2186,62
2020-4-15,6440,2186,63
2020-4-16,6462,2355,63
2020-4-17,6522,3808,66
2020-4-18,6568,4124,67
2020-4-19,6610,4124,67
2020-4-20,6623,4291,67
2020-4-21,6645,4695,67
2020-4-22,6652,4932,67
2020-4-23,6662,5047,75
2020-4-24,6677,5136,79
2020-4-25,6694,5376,80
2020-4-26,6714,5541,83
2020-4-27,6721,5588,83
2020-4-28,6744,5665,89
2020-4-29,6752,5715,91
2020-4-30,6766,5742,93
2020-5-1,6778,5775,93
2020-5-2,6799,5814,94
