date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,2,0,0
2020-2-26,2,0,0
2020-2-27,3,0,0
2020-2-28,3,0,0
2020-2-29,9,0,0
2020-3-1,14,0,0
2020-3-2,18,0,0
2020-3-3,21,0,0
2020-3-4,29,0,0
2020-3-5,41,0,0
2020-3-6,55,0,0
2020-3-7,79,0,0
2020-3-8,104,0,0
2020-3-9,131,2,0
2020-3-10,182,4,0
2020-3-11,246,4,0
2020-3-12,302,4,1
2020-3-13,504,6,1
2020-3-14,655,6,1
2020-3-15,860,6,1
2020-3-16,1018,6,3
2020-3-17,1332,1,3
2020-3-18,1646,9,4
2020-3-19,2013,9,6
2020-3-20,2388,9,6
2020-3-21,2814,9,8
2020-3-22,3582,9,16
2020-3-23,4474,9,21
2020-3-24,5283,9,28
2020-3-25,5588,9,30
2020-3-26,6909,112,49
2020-3-27,7657,225,58
2020-3-28,8271,225,68
2020-3-29,8788,479,86
2020-3-30,9618,636,108
2020-3-31,10180,1095,128
2020-4-1,10711,1436,146
2020-4-2,11129,1749,158
2020-4-3,11524,2022,168
2020-4-4,11781,2507,186
2020-4-5,12051,2998,204
2020-4-6,12297,3463,220
2020-4-7,12639,4046,243
2020-4-8,12942,4512,273
2020-4-9,13244,5240,295
2020-4-10,13555,6064,319
2020-4-11,13806,6604,337
2020-4-12,13945,6987,350
2020-4-13,14041,7343,368
2020-4-14,14226,7633,384
2020-4-15,14336,8098,393
2020-4-16,14476,8986,410
2020-4-17,14595,9704,431
2020-4-18,14671,10214,443
2020-4-19,14749,10501,452
2020-4-20,14795,10631,470
2020-4-21,14873,10971,491
2020-4-22,14925,11328,510
2020-4-23,15002,11694,522
2020-4-24,15071,11872,530
2020-4-25,15148,12103,536
2020-4-26,15225,12282,542
2020-4-27,15274,12362,549
2020-4-28,15357,12580,569
2020-4-29,15402,12779,580
2020-4-30,15452,12907,584
2020-5-1,15531,13110,589
