date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,3,0,0
2020-3-2,3,0,0
2020-3-3,3,0,0
2020-3-4,3,0,0
2020-3-5,6,0,0
2020-3-6,6,0,0
2020-3-7,9,0,0
2020-3-8,9,0,0
2020-3-9,9,0,0
2020-3-10,11,0,0
2020-3-11,11,3,0
2020-3-12,11,3,0
2020-3-13,15,3,1
2020-3-14,15,3,1
2020-3-15,23,6,1
2020-3-16,28,6,1
2020-3-17,28,6,1
2020-3-18,28,6,1
2020-3-19,44,6,1
2020-3-20,44,6,1
2020-3-21,53,11,1
2020-3-22,65,10,1
2020-3-23,72,10,1
2020-3-24,87,10,1
2020-3-25,93,10,2
2020-3-26,122,15,3
2020-3-27,165,15,3
2020-3-28,182,15,4
2020-3-29,209,15,4
2020-3-30,273,26,4
2020-3-31,298,26,5
2020-4-1,359,26,5
2020-4-2,400,26,5
2020-4-3,443,32,5
2020-4-4,521,32,5
2020-4-5,584,32,7
2020-4-6,641,44,7
2020-4-7,717,44,8
2020-4-8,822,63,8
2020-4-9,926,101,9
2020-4-10,991,159,10
2020-4-11,1058,200,11
2020-4-12,1098,250,11
2020-4-13,1148,289,12
2020-4-14,1197,351,13
2020-4-15,1253,404,13
2020-4-16,1283,460,15
2020-4-17,1340,528,15
2020-4-18,1373,590,18
2020-4-19,1398,712,19
2020-4-20,1436,791,19
2020-4-21,1480,865,20
2020-4-22,1518,907,20
2020-4-23,1548,948,20
2020-4-24,1592,1013,21
2020-4-25,1617,1080,21
2020-4-26,1645,1139,21
2020-4-27,1678,1162,22
2020-4-28,1717,1221,22
2020-4-29,1766,1267,23
2020-4-30,1804,1325,24
2020-5-1,1854,1365,25
