date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,1,0,0
2020-2-25,23,0,0
2020-2-26,33,0,0
2020-2-27,33,0,0
2020-2-28,36,0,0
2020-2-29,41,0,0
2020-3-1,47,0,0
2020-3-2,49,0,0
2020-3-3,49,0,0
2020-3-4,52,0,0
2020-3-5,55,0,0
2020-3-6,60,4,0
2020-3-7,85,4,0
2020-3-8,85,4,0
2020-3-9,95,14,0
2020-3-10,110,22,0
2020-3-11,195,35,0
2020-3-12,195,35,0
2020-3-13,195,44,0
2020-3-14,210,44,0
2020-3-15,214,60,0
2020-3-16,214,77,1
2020-3-17,228,81,1
2020-3-18,256,88,1
2020-3-19,278,100,1
2020-3-20,285,100,1
2020-3-21,305,125,1
2020-3-22,334,149,2
2020-3-23,377,149,2
2020-3-24,392,177,3
2020-3-25,419,177,4
2020-3-26,458,204,4
2020-3-27,466,227,4
2020-3-28,476,265,4
2020-3-29,499,272,4
2020-3-30,515,279,4
2020-3-31,567,295,4
2020-4-1,569,337,4
2020-4-2,643,381,4
2020-4-3,672,382,4
2020-4-4,688,423,4
2020-4-5,700,431,4
2020-4-6,756,458,4
2020-4-7,811,458,5
2020-4-8,823,477,5
2020-4-9,887,519,5
2020-4-10,925,539,6
2020-4-11,1040,555,6
2020-4-12,1136,558,6
2020-4-13,1361,591,6
2020-4-14,1528,645,7
2020-4-15,1671,663,7
2020-4-16,1700,703,7
2020-4-17,1740,725,7
2020-4-18,1773,755,7
2020-4-19,1881,759,7
2020-4-20,1907,769,7
2020-4-21,1973,784,7
2020-4-22,2027,1026,7
2020-4-23,2217,1082,8
2020-4-24,2518,1113,8
2020-4-25,2588,1160,8
2020-4-26,2647,1189,8
2020-4-27,2723,1218,8
2020-4-28,2811,1310,8
2020-4-29,2921,1455,8
2020-4-30,3040,1500,8
2020-5-1,3170,1555,8
2020-5-2,3284,1568,8
