date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,3,0,0
2020-3-11,3,0,0
2020-3-12,3,0,0
2020-3-13,3,0,0
2020-3-14,3,0,0
2020-3-15,5,0,0
2020-3-16,8,2,0
2020-3-17,10,3,0
2020-3-18,14,3,1
2020-3-19,17,3,1
2020-3-20,20,3,1
2020-3-21,25,3,2
2020-3-22,27,3,2
2020-3-23,33,3,3
2020-3-24,39,5,4
2020-3-25,39,7,5
2020-3-26,44,11,5
2020-3-27,48,11,5
2020-3-28,48,15,5
2020-3-29,48,15,5
2020-3-30,49,19,5
2020-3-31,51,25,5
2020-4-1,54,25,6
2020-4-2,56,25,6
2020-4-3,61,26,6
2020-4-4,70,30,8
2020-4-5,88,33,9
2020-4-6,123,33,12
2020-4-7,164,33,17
2020-4-8,218,33,20
2020-4-9,330,33,21
2020-4-10,424,33,27
2020-4-11,482,36,30
2020-4-12,621,39,34
2020-4-13,803,42,39
2020-4-14,1012,42,46
2020-4-15,1231,49,50
2020-4-16,1572,49,60
2020-4-17,1838,58,75
2020-4-18,2144,66,84
2020-4-19,2456,75,91
2020-4-20,2948,85,101
2020-4-21,3382,87,110
2020-4-22,3772,92,120
2020-4-23,4186,108,127
2020-4-24,4689,112,131
2020-4-25,4998,113,140
2020-4-26,5416,122,145
2020-4-27,5913,131,152
2020-4-28,6462,139,155
2020-4-29,7103,150,163
2020-4-30,7667,160,168
2020-5-1,8238,174,170
2020-5-2,8790,177,175
