date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,2,0,0
2020-3-18,2,0,0
2020-3-19,5,0,0
2020-3-20,5,0,0
2020-3-21,6,0,0
2020-3-22,14,0,0
2020-3-23,17,0,0
2020-3-24,18,0,0
2020-3-25,18,0,0
2020-3-26,18,0,0
2020-3-27,24,0,0
2020-3-28,26,0,0
2020-3-29,33,0,0
2020-3-30,33,0,0
2020-3-31,34,0,0
2020-4-1,34,0,0
2020-4-2,46,0,0
2020-4-3,51,0,0
2020-4-4,52,0,0
2020-4-5,56,6,1
2020-4-6,60,6,2
2020-4-7,63,6,3
2020-4-8,63,8,3
2020-4-9,66,11,3
2020-4-10,67,11,4
2020-4-11,68,11,4
2020-4-12,71,11,4
2020-4-13,72,13,4
2020-4-14,72,13,4
2020-4-15,73,15,5
2020-4-16,75,15,5
2020-4-17,75,15,5
2020-4-18,75,17,5
2020-4-19,75,17,5
2020-4-20,75,19,5
2020-4-21,75,25,5
2020-4-22,75,25,5
2020-4-23,76,30,6
2020-4-24,77,31,6
2020-4-25,79,31,6
2020-4-26,79,39,6
2020-4-27,80,39,6
2020-4-28,80,39,6
2020-4-29,80,39,7
2020-4-30,81,39,7
2020-5-1,81,39,7
2020-5-2,81,44,7
