date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,6,0,0
2020-3-5,6,0,0
2020-3-6,6,0,0
2020-3-7,6,0,0
2020-3-8,6,0,0
2020-3-9,6,1,0
2020-3-10,9,3,0
2020-3-11,9,3,0
2020-3-12,12,3,0
2020-3-13,27,3,0
2020-3-14,27,3,0
2020-3-15,27,3,0
2020-3-16,36,3,0
2020-3-17,36,3,0
2020-3-18,51,5,0
2020-3-19,51,5,0
2020-3-20,69,5,0
2020-3-21,76,15,0
2020-3-22,76,15,0
2020-3-23,81,15,0
2020-3-24,81,22,0
2020-3-25,86,29,0
2020-3-26,86,29,0
2020-3-27,94,32,0
2020-3-28,94,32,0
2020-3-29,94,32,0
2020-3-30,152,32,0
2020-3-31,152,47,1
2020-4-1,163,53,2
2020-4-2,304,53,4
2020-4-3,351,53,4
2020-4-4,440,53,5
2020-4-5,562,52,8
2020-4-6,700,53,13
2020-4-7,861,54,13
2020-4-8,1066,77,13
2020-4-9,1486,139,16
2020-4-10,1981,169,19
2020-4-11,2226,172,23
2020-4-12,2578,203,26
2020-4-13,2919,203,29
2020-4-14,3281,203,33
2020-4-15,3728,203,36
2020-4-16,4204,203,40
2020-4-17,4779,342,42
2020-4-18,4779,342,45
2020-4-19,4779,494,47
2020-4-20,6264,514,51
2020-4-21,6723,577,55
2020-4-22,7281,769,58
2020-4-23,8022,938,60
2020-4-24,8773,1120,63
2020-4-25,9590,1573,67
2020-4-26,10463,1695,72
2020-4-27,11289,1740,75
2020-4-28,12208,1993,79
2020-4-29,13181,2072,84
2020-4-30,14027,2386,89
2020-5-1,14917,2918,93
