date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,1,0,0
2020-2-10,1,0,0
2020-2-11,1,0,0
2020-2-12,1,0,0
2020-2-13,1,0,0
2020-2-14,1,0,0
2020-2-15,1,0,0
2020-2-16,1,0,0
2020-2-17,1,1,0
2020-2-18,1,1,0
2020-2-19,1,1,0
2020-2-20,1,1,0
2020-2-21,1,1,0
2020-2-22,1,1,0
2020-2-23,1,1,0
2020-2-24,1,1,0
2020-2-25,1,1,0
2020-2-26,1,1,0
2020-2-27,1,1,0
2020-2-28,1,1,0
2020-2-29,1,1,0
2020-3-1,2,1,0
2020-3-2,8,1,0
2020-3-3,13,1,0
2020-3-4,23,1,0
2020-3-5,50,1,0
2020-3-6,109,1,0
2020-3-7,169,1,0
2020-3-8,200,1,0
2020-3-9,239,1,0
2020-3-10,267,1,0
2020-3-11,314,1,3
2020-3-12,314,1,3
2020-3-13,559,1,3
2020-3-14,689,1,4
2020-3-15,886,1,4
2020-3-16,1058,1,5
2020-3-17,1243,1,10
2020-3-18,1486,31,14
2020-3-19,1795,31,21
2020-3-20,2257,1,37
2020-3-21,2815,263,67
2020-3-22,3401,263,75
2020-3-23,3743,263,88
2020-3-24,4269,461,122
2020-3-25,4937,547,178
2020-3-26,6235,675,220
2020-3-27,7284,858,289
2020-3-28,9134,1063,353
2020-3-29,10836,1359,431
2020-3-30,11899,1527,513
2020-3-31,12775,1696,705
2020-4-1,13964,2132,828
2020-4-2,15348,2495,1011
2020-4-3,16770,2872,1143
2020-4-4,18431,3247,1283
2020-4-5,19691,3751,1447
2020-4-6,20814,3986,1632
2020-4-7,22194,4157,2035
2020-4-8,23403,4681,2240
2020-4-9,24983,5164,2523
2020-4-10,26667,5568,3019
2020-4-11,28018,5986,3346
2020-4-12,29647,6463,3600
2020-4-13,30589,6707,3903
2020-4-14,31119,6868,4157
2020-4-15,33573,7107,4440
2020-4-16,34809,7562,4857
2020-4-17,36138,7961,5163
2020-4-18,37183,8348,5453
2020-4-19,38496,8757,5683
2020-4-20,39983,8895,5828
2020-4-21,40956,9002,5998
2020-4-22,41889,9433,6262
2020-4-23,42797,9800,6490
2020-4-24,44293,10122,6679
2020-4-25,45325,10417,6917
2020-4-26,46134,10785,7094
2020-4-27,46687,10878,7207
2020-4-28,47334,10943,7331
2020-4-29,47859,11283,7501
2020-4-30,48519,11576,7594
2020-5-1,49032,11892,7703
