date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,2,0,0
2020-3-12,2,0,0
2020-3-13,3,0,0
2020-3-14,10,0,0
2020-3-15,10,0,0
2020-3-16,11,0,0
2020-3-17,11,0,0
2020-3-18,12,0,0
2020-3-19,12,0,0
2020-3-20,15,0,0
2020-3-21,19,0,0
2020-3-22,24,0,0
2020-3-23,27,0,0
2020-3-24,29,0,0
2020-3-25,32,0,0
2020-3-26,43,0,0
2020-3-27,61,0,0
2020-3-28,74,0,0
2020-3-29,81,0,1
2020-3-30,97,0,4
2020-3-31,107,0,6
2020-4-1,115,1,7
2020-4-2,123,1,8
2020-4-3,132,1,9
2020-4-4,139,1,10
2020-4-5,157,2,10
2020-4-6,183,2,11
2020-4-7,194,2,14
2020-4-8,210,2,15
2020-4-9,264,2,18
2020-4-10,268,2,19
2020-4-11,275,2,20
2020-4-12,300,2,24
2020-4-13,330,2,27
2020-4-14,354,6,28
2020-4-15,397,7,28
2020-4-16,441,14,29
2020-4-17,465,26,31
2020-4-18,493,31,31
2020-4-19,520,31,32
2020-4-20,564,31,33
2020-4-21,598,37,34
2020-4-22,609,44,37
2020-4-23,703,44,43
2020-4-24,807,54,44
2020-4-25,866,54,46
2020-4-26,950,80,50
2020-4-27,1014,98,53
2020-4-28,1014,98,53
2020-4-29,1110,117,59
2020-4-30,1110,117,59
2020-5-1,1229,134,66
