date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,2,0,0
2020-3-6,2,0,0
2020-3-7,3,0,0
2020-3-8,3,0,0
2020-3-9,3,0,0
2020-3-10,5,0,0
2020-3-11,7,0,0
2020-3-12,11,0,0
2020-3-13,13,0,0
2020-3-14,18,0,0
2020-3-15,24,0,0
2020-3-16,25,0,0
2020-3-17,26,2,0
2020-3-18,38,2,0
2020-3-19,63,2,0
2020-3-20,89,2,0
2020-3-21,93,2,1
2020-3-22,126,2,1
2020-3-23,136,2,1
2020-3-24,166,2,3
2020-3-25,176,2,3
2020-3-26,191,2,3
2020-3-27,237,5,4
2020-3-28,258,5,5
2020-3-29,323,8,6
2020-3-30,368,17,10
2020-3-31,420,17,13
2020-4-1,459,19,13
2020-4-2,533,20,16
2020-4-3,579,27,17
2020-4-4,624,30,21
2020-4-5,654,30,23
2020-4-6,674,47,29
2020-4-7,764,68,33
2020-4-8,804,79,34
2020-4-9,858,101,35
2020-4-10,901,129,36
2020-4-11,946,139,37
2020-4-12,1009,193,39
2020-4-13,1037,206,39
2020-4-14,1083,236,40
2020-4-15,1110,253,41
2020-4-16,1167,277,43
2020-4-17,1214,320,46
2020-4-18,1268,338,47
2020-4-19,1285,347,48
2020-4-20,1309,381,49
2020-4-21,1342,437,51
2020-4-22,1368,460,53
2020-4-23,1413,485,54
2020-4-24,1421,538,55
2020-4-25,1486,592,57
2020-4-26,1516,624,59
2020-4-27,1565,659,60
2020-4-28,1585,682,63
2020-4-29,1677,710,65
2020-4-30,1757,727,69
2020-5-1,1781,755,70
2020-5-2,1839,779,72
