date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,2,0,0
2020-3-1,2,0,0
2020-3-2,2,0,0
2020-3-3,2,0,0
2020-3-4,4,0,0
2020-3-5,4,0,0
2020-3-6,13,0,0
2020-3-7,13,0,0
2020-3-8,20,0,0
2020-3-9,25,0,0
2020-3-10,31,0,0
2020-3-11,38,0,0
2020-3-12,52,0,0
2020-3-13,151,0,0
2020-3-14,151,0,0
2020-3-15,162,0,0
2020-3-16,200,1,0
2020-3-17,321,2,1
2020-3-18,372,2,3
2020-3-19,621,2,6
2020-3-20,793,2,11
2020-3-21,1021,2,15
2020-3-22,1546,2,25
2020-3-23,1924,2,34
2020-3-24,2247,2,46
2020-3-25,2554,2,59
2020-3-26,2985,6,77
2020-3-27,3417,6,92
2020-3-28,3904,6,111
2020-3-29,4256,6,136
2020-3-30,4579,120,159
2020-3-31,5717,127,201
2020-4-1,6836,127,240
2020-4-2,8044,127,324
2020-4-3,9056,127,359
2020-4-4,10360,127,445
2020-4-5,11130,127,486
2020-4-6,12161,127,564
2020-4-7,14034,127,686
2020-4-8,16170,127,819
2020-4-9,18092,173,950
2020-4-10,19638,173,1057
2020-4-11,20727,173,1124
2020-4-12,22192,173,1223
2020-4-13,23430,173,1328
2020-4-14,25262,3046,1532
2020-4-15,28320,14026,1736
2020-4-16,30425,14026,1924
2020-4-17,33682,14026,2141
2020-4-18,36658,14026,2354
2020-4-19,38654,22130,2462
2020-4-20,40743,22130,2587
2020-4-21,43079,22991,2741
2020-4-22,45757,25318,2906
2020-4-23,50036,26573,3331
2020-4-24,54043,27655,3704
2020-4-25,59324,29160,4057
2020-4-26,63100,30152,4286
2020-4-27,67446,31142,4603
2020-4-28,73235,32544,5083
2020-4-29,79685,34132,5513
2020-4-30,87187,35935,6006
2020-5-1,92202,38039,6412
