date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,11,0,0
2020-3-12,11,0,0
2020-3-13,37,0,0
2020-3-14,40,0,0
2020-3-15,50,0,0
2020-3-16,54,0,0
2020-3-17,56,0,0
2020-3-18,68,0,0
2020-3-19,75,0,0
2020-3-20,78,1,0
2020-3-21,83,2,0
2020-3-22,88,2,0
2020-3-23,91,2,0
2020-3-24,104,2,0
2020-3-25,109,2,0
2020-3-26,114,5,0
2020-3-27,115,11,0
2020-3-28,120,25,1
2020-3-29,126,34,1
2020-3-30,127,38,1
2020-3-31,129,45,1
2020-4-1,131,52,1
2020-4-2,133,56,1
2020-4-3,134,65,1
2020-4-4,135,66,1
2020-4-5,135,73,1
2020-4-6,135,82,1
2020-4-7,135,85,1
2020-4-8,135,91,1
2020-4-9,135,92,1
2020-4-10,136,99,1
2020-4-11,136,104,1
2020-4-12,136,106,1
2020-4-13,136,107,1
2020-4-14,136,107,1
2020-4-15,136,108,1
2020-4-16,136,108,1
2020-4-17,136,112,1
2020-4-18,137,113,1
2020-4-19,138,115,1
2020-4-20,138,116,1
2020-4-21,138,116,1
2020-4-22,138,117,1
2020-4-23,138,119,1
2020-4-24,138,120,1
2020-4-25,138,121,1
2020-4-26,138,123,1
2020-4-27,138,124,1
2020-4-28,138,124,1
2020-4-29,138,124,1
2020-4-30,138,124,1
2020-5-1,138,124,1
2020-5-2,138,126,1
