date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,4,0,0
2020-3-9,4,0,0
2020-3-10,4,0,0
2020-3-11,7,0,1
2020-3-12,7,0,1
2020-3-13,23,0,1
2020-3-14,41,0,2
2020-3-15,51,0,2
2020-3-16,52,0,2
2020-3-17,67,0,2
2020-3-18,92,0,2
2020-3-19,94,0,3
2020-3-20,127,0,3
2020-3-21,163,3,3
2020-3-22,187,3,3
2020-3-23,201,3,3
2020-3-24,218,3,3
2020-3-25,242,4,3
2020-3-26,264,8,3
2020-3-27,293,9,3
2020-3-28,331,11,7
2020-3-29,346,14,8
2020-3-30,359,17,8
2020-3-31,399,17,8
2020-4-1,422,20,10
2020-4-2,457,25,10
2020-4-3,485,30,14
2020-4-4,503,34,17
2020-4-5,531,37,20
2020-4-6,549,39,22
2020-4-7,577,42,23
2020-4-8,593,42,24
2020-4-9,618,48,24
2020-4-10,635,54,25
2020-4-11,661,62,28
2020-4-12,675,68,29
2020-4-13,685,71,32
2020-4-14,713,81,35
2020-4-15,747,105,36
2020-4-16,800,122,38
2020-4-17,846,141,41
2020-4-18,878,153,41
2020-4-19,894,161,42
2020-4-20,929,167,43
2020-4-21,975,170,45
2020-4-22,1024,174,49
2020-4-23,1097,190,52
2020-4-24,1234,197,54
2020-4-25,1247,197,55
2020-4-26,1300,205,56
2020-4-27,1363,206,58
2020-4-28,1399,222,58
2020-4-29,1447,243,64
2020-4-30,1506,266,66
2020-5-1,1555,276,68
2020-5-2,1594,287,72
