date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,1,0,0
2020-3-11,2,0,0
2020-3-12,2,0,0
2020-3-13,2,0,0
2020-3-14,2,0,0
2020-3-15,3,0,0
2020-3-16,15,0,0
2020-3-17,15,0,0
2020-3-18,20,0,1
2020-3-19,33,0,1
2020-3-20,40,0,1
2020-3-21,64,5,2
2020-3-22,75,5,4
2020-3-23,99,5,4
2020-3-24,114,7,4
2020-3-25,146,10,4
2020-3-26,152,10,7
2020-3-27,180,12,9
2020-3-28,207,21,11
2020-3-29,222,23,12
2020-3-30,246,31,12
2020-3-31,261,32,14
2020-4-1,282,46,16
2020-4-2,288,50,16
2020-4-3,302,50,16
2020-4-4,318,66,16
2020-4-5,345,90,17
2020-4-6,364,108,18
2020-4-7,384,127,19
2020-4-8,414,134,23
2020-4-9,443,146,24
2020-4-10,443,146,24
2020-4-11,484,155,27
2020-4-12,497,161,27
2020-4-13,497,161,27
2020-4-14,528,177,30
2020-4-15,542,226,32
2020-4-16,546,257,32
2020-4-17,557,294,35
2020-4-18,565,321,36
2020-4-19,576,338,36
2020-4-20,581,357,38
2020-4-21,600,362,38
2020-4-22,609,389,39
2020-4-23,616,410,41
2020-4-24,629,425,41
2020-4-25,629,442,41
2020-4-26,632,453,42
2020-4-27,635,469,42
2020-4-28,638,476,42
2020-4-29,641,498,43
2020-4-30,645,506,43
2020-5-1,649,517,44
