date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,1,0,0
2020-1-28,1,0,0
2020-1-29,1,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,1,0,0
2020-2-10,1,0,0
2020-2-11,1,0,0
2020-2-12,1,1,0
2020-2-13,1,1,0
2020-2-14,1,1,0
2020-2-15,1,1,0
2020-2-16,1,1,0
2020-2-17,1,1,0
2020-2-18,1,1,0
2020-2-19,1,1,0
2020-2-20,1,1,0
2020-2-21,1,1,0
2020-2-22,1,1,0
2020-2-23,1,1,0
2020-2-24,1,1,0
2020-2-25,1,1,0
2020-2-26,1,1,0
2020-2-27,1,1,0
2020-2-28,1,1,0
2020-2-29,1,1,0
2020-3-1,1,1,0
2020-3-2,1,1,0
2020-3-3,1,1,0
2020-3-4,1,1,0
2020-3-5,1,1,0
2020-3-6,1,1,0
2020-3-7,1,1,0
2020-3-8,2,1,0
2020-3-9,2,1,0
2020-3-10,2,1,0
2020-3-11,3,1,0
2020-3-12,3,1,0
2020-3-13,5,1,0
2020-3-14,7,1,0
2020-3-15,7,1,0
2020-3-16,7,1,0
2020-3-17,33,1,0
2020-3-18,35,1,0
2020-3-19,37,1,0
2020-3-20,51,1,0
2020-3-21,53,1,0
2020-3-22,84,1,0
2020-3-23,87,1,0
2020-3-24,91,4,0
2020-3-25,96,10,0
2020-3-26,96,10,0
2020-3-27,99,11,0
2020-3-28,99,13,0
2020-3-29,103,21,0
2020-3-30,107,21,0
2020-3-31,109,23,0
2020-4-1,109,25,0
2020-4-2,110,34,0
2020-4-3,114,35,0
2020-4-4,114,50,0
2020-4-5,114,50,0
2020-4-6,114,53,0
2020-4-7,115,58,0
2020-4-8,117,63,0
2020-4-9,119,62,0
2020-4-10,119,72,0
2020-4-11,120,75,0
2020-4-12,122,77,0
2020-4-13,122,77,0
2020-4-14,122,91,0
2020-4-15,122,96,0
2020-4-16,122,98,0
2020-4-17,122,98,0
2020-4-18,122,103,0
2020-4-19,122,105,0
2020-4-20,122,107,0
2020-4-21,122,110,0
2020-4-22,122,110,0
2020-4-23,122,110,0
2020-4-24,122,117,0
2020-4-25,122,117,0
2020-4-26,122,117,0
2020-4-27,122,119,0
2020-4-28,122,119,0
2020-4-29,122,119,0
2020-4-30,122,119,0
2020-5-1,122,120,0
