date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,2,0,0
2020-3-9,2,0,0
2020-3-10,2,0,0
2020-3-11,2,0,0
2020-3-12,2,0,0
2020-3-13,2,0,0
2020-3-14,2,0,0
2020-3-15,2,0,0
2020-3-16,4,0,0
2020-3-17,10,0,0
2020-3-18,10,0,0
2020-3-19,13,0,0
2020-3-20,20,0,0
2020-3-21,27,0,0
2020-3-22,40,0,0
2020-3-23,56,0,0
2020-3-24,66,0,0
2020-3-25,75,2,1
2020-3-26,75,2,1
2020-3-27,91,2,2
2020-3-28,91,2,2
2020-3-29,139,5,6
2020-3-30,139,5,6
2020-3-31,193,5,6
2020-4-1,233,10,6
2020-4-2,306,10,7
2020-4-3,509,17,8
2020-4-4,555,17,9
2020-4-5,650,17,9
2020-4-6,658,17,9
2020-4-7,658,43,9
2020-4-8,730,60,10
2020-4-9,730,60,10
2020-4-10,820,98,12
2020-4-11,820,98,12
2020-4-12,820,98,12
2020-4-13,820,98,12
2020-4-14,848,130,14
2020-4-15,848,165,17
2020-4-16,996,164,22
2020-4-17,996,164,22
2020-4-18,1017,177,22
2020-4-19,1017,305,42
2020-4-20,1163,305,42
2020-4-21,1163,329,43
2020-4-22,1163,397,43
2020-4-23,1334,668,43
2020-4-24,1430,668,43
2020-4-25,1518,697,53
2020-4-26,1621,786,56
2020-4-27,1705,805,58
2020-4-28,1705,915,58
2020-4-29,1832,934,61
2020-4-30,1832,934,61
2020-5-1,1832,934,61
