date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,1,0,0
2020-1-27,1,0,0
2020-1-28,2,0,0
2020-1-29,2,0,0
2020-1-30,2,0,0
2020-1-31,4,0,0
2020-2-1,4,0,0
2020-2-2,4,0,0
2020-2-3,4,0,0
2020-2-4,4,0,0
2020-2-5,5,0,0
2020-2-6,5,0,0
2020-2-7,7,0,0
2020-2-8,7,0,0
2020-2-9,7,0,0
2020-2-10,7,0,0
2020-2-11,7,0,0
2020-2-12,7,1,0
2020-2-13,7,1,0
2020-2-14,7,1,0
2020-2-15,7,1,0
2020-2-16,7,1,0
2020-2-17,8,1,0
2020-2-18,8,1,0
2020-2-19,8,1,0
2020-2-20,8,1,0
2020-2-21,9,3,0
2020-2-22,9,3,0
2020-2-23,9,3,0
2020-2-24,10,3,0
2020-2-25,11,3,0
2020-2-26,11,3,0
2020-2-27,13,6,0
2020-2-28,14,6,0
2020-2-29,20,6,0
2020-3-1,24,6,0
2020-3-2,27,6,0
2020-3-3,30,6,0
2020-3-4,33,6,0
2020-3-5,37,6,0
2020-3-6,49,6,0
2020-3-7,54,8,0
2020-3-8,64,8,0
2020-3-9,77,8,1
2020-3-10,79,8,1
2020-3-11,108,8,1
2020-3-12,117,8,1
2020-3-13,193,8,1
2020-3-14,198,8,1
2020-3-15,252,8,1
2020-3-16,415,9,4
2020-3-17,478,9,5
2020-3-18,657,9,8
2020-3-19,800,9,9
2020-3-20,943,9,12
2020-3-21,1277,10,19
2020-3-22,1469,10,21
2020-3-23,2088,10,25
2020-3-24,2790,110,26
2020-3-25,3251,183,30
2020-3-26,4042,184,38
2020-3-27,4682,256,54
2020-3-28,5576,466,61
2020-3-29,6280,466,64
2020-3-30,7398,466,80
2020-3-31,8527,1592,101
2020-4-1,9560,1324,109
2020-4-2,11284,1735,139
2020-4-3,12437,2175,179
2020-4-4,12978,2577,218
2020-4-5,15756,3012,259
2020-4-6,16563,3256,339
2020-4-7,17872,3791,375
2020-4-8,19141,4154,407
2020-4-9,20654,5162,503
2020-4-10,22059,5855,557
2020-4-11,23316,6589,654
2020-4-12,24299,7123,714
2020-4-13,25680,7758,781
2020-4-14,27035,8210,901
2020-4-15,28209,8966,1008
2020-4-16,30809,9698,1259
2020-4-17,32814,10545,1356
2020-4-18,34356,10964,1401
2020-4-19,35633,11847,1565
2020-4-20,37658,12543,1727
2020-4-21,39402,13188,1910
2020-4-22,41663,14454,2078
2020-4-23,43299,14761,2241
2020-4-24,44919,15149,2402
2020-4-25,46371,16013,2571
2020-4-26,48033,16883,2687
2020-4-27,49616,18268,2841
2020-4-28,51150,19231,2983
2020-4-29,52865,20327,3155
2020-4-30,54457,21424,3310
2020-5-1,56343,22764,3537
