date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,4,0,0
2020-3-6,4,0,0
2020-3-7,4,0,0
2020-3-8,8,0,0
2020-3-9,8,0,0
2020-3-10,13,0,0
2020-3-11,23,0,0
2020-3-12,23,0,0
2020-3-13,43,0,0
2020-3-14,61,0,0
2020-3-15,74,0,0
2020-3-16,155,0,0
2020-3-17,201,0,0
2020-3-18,238,0,0
2020-3-19,238,0,0
2020-3-20,434,6,0
2020-3-21,537,6,0
2020-3-22,632,8,1
2020-3-23,746,8,2
2020-3-24,922,17,2
2020-3-25,1142,22,3
2020-3-26,1306,22,4
2020-3-27,1610,43,5
2020-3-28,1909,61,6
2020-3-29,2139,75,7
2020-3-30,2449,156,8
2020-3-31,2738,156,12
2020-4-1,3031,234,16
2020-4-2,3404,335,18
2020-4-3,3737,427,22
2020-4-4,4161,528,27
2020-4-5,4471,618,34
2020-4-6,4815,728,37
2020-4-7,5116,898,43
2020-4-8,5546,1115,48
2020-4-9,5972,1274,57
2020-4-10,6501,1571,65
2020-4-11,6927,1864,73
2020-4-12,7213,2059,80
2020-4-13,7525,2367,82
2020-4-14,7917,2646,92
2020-4-15,8273,2937,94
2020-4-16,8807,3299,105
2020-4-17,9252,3621,116
2020-4-18,9730,4035,126
2020-4-19,10088,4338,133
2020-4-20,10507,4676,139
2020-4-21,10832,4969,147
2020-4-22,11296,5386,160
2020-4-23,11812,5804,168
2020-4-24,12306,6327,174
2020-4-25,12858,6746,181
2020-4-26,13331,7024,189
2020-4-27,13813,7327,198
2020-4-28,14365,7710,207
2020-4-29,14885,8057,216
2020-4-30,16023,8580,227
2020-5-1,17008,9018,234
2020-5-2,18435,9572,247
