date,confirmed,recovered,deaths
2020-1-22,548,28,17
2020-1-23,643,30,18
2020-1-24,920,36,26
2020-1-25,1406,39,42
2020-1-26,2075,49,56
2020-1-27,2877,58,82
2020-1-28,5509,101,131
2020-1-29,6087,120,133
2020-1-30,8141,135,171
2020-1-31,9802,214,213
2020-2-1,11891,275,259
2020-2-2,16630,463,361
2020-2-3,19716,614,425
2020-2-4,23707,843,491
2020-2-5,27440,1115,563
2020-2-6,30587,1477,633
2020-2-7,34110,1999,718
2020-2-8,36814,2596,805
2020-2-9,39829,3219,905
2020-2-10,42354,3918,1012
2020-2-11,44386,4636,1112
2020-2-12,44759,5082,1117
2020-2-13,59895,6217,1369
2020-2-14,66358,7977,1521
2020-2-15,68413,9298,1663
2020-2-16,70513,10755,1766
2020-2-17,72434,12462,1864
2020-2-18,74211,14206,2003
2020-2-19,74619,15962,2116
2020-2-20,75077,18014,2238
2020-2-21,75550,18704,2238
2020-2-22,77001,22699,2443
2020-2-23,77022,23187,2445
2020-2-24,77241,25015,2595
2020-2-25,77754,27676,2665
2020-2-26,78166,30084,2717
2020-2-27,78600,32930,2746
2020-2-28,78928,36329,2790
2020-2-29,79356,39320,2837
2020-3-1,79932,42162,2872
2020-3-2,80136,44854,2914
2020-3-3,80261,47450,2947
2020-3-4,80386,50001,2983
2020-3-5,80537,52292,3015
2020-3-6,80690,53944,3044
2020-3-7,80770,55539,3072
2020-3-8,80823,57388,3100
2020-3-9,80860,58804,3123
2020-3-10,80887,60181,3139
2020-3-11,80921,61644,3161
2020-3-12,80932,62901,3172
2020-3-13,80945,64196,3180
2020-3-14,80977,65660,3193
2020-3-15,81003,67017,3203
2020-3-16,81033,67910,3217
2020-3-17,81058,68798,3230
2020-3-18,81102,69755,3241
2020-3-19,81156,70535,3249
2020-3-20,81250,71266,3253
2020-3-21,81305,71857,3259
2020-3-22,81435,72362,3274
2020-3-23,81498,72814,3274
2020-3-24,81591,73280,3281
2020-3-25,81661,73773,3285
2020-3-26,81782,74181,3291
2020-3-27,81897,74720,3296
2020-3-28,81999,75100,3299
2020-3-29,82122,75582,3304
2020-3-30,82198,75923,3308
2020-3-31,82279,76206,3309
2020-4-1,82361,76405,3316
2020-4-2,82432,76565,3322
2020-4-3,82511,76760,3326
2020-4-4,82543,76946,3330
2020-4-5,82602,77207,3333
2020-4-6,82665,77310,3335
2020-4-7,82718,77410,3335
2020-4-8,82809,77567,3337
2020-4-9,82883,77679,3339
2020-4-10,82941,77791,3340
2020-4-11,83014,77877,3343
2020-4-12,83134,77956,3343
2020-4-13,83213,78039,3345
2020-4-14,83306,78200,3345
2020-4-15,83356,78311,3346
2020-4-16,83403,78401,3346
2020-4-17,83760,77552,4636
2020-4-18,83787,77614,4636
2020-4-19,83805,77690,4636
2020-4-20,83817,77745,4636
2020-4-21,83853,77799,4636
2020-4-22,83868,77861,4636
2020-4-23,83884,77983,4636
2020-4-24,83899,78109,4636
2020-4-25,83909,78175,4636
2020-4-26,83912,78277,4637
2020-4-27,83918,78374,4637
2020-4-28,83940,78422,4637
2020-4-29,83944,78474,4637
2020-4-30,83956,78523,4637
2020-5-1,83959,78573,4637
