date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,3,0,0
2020-3-11,9,0,0
2020-3-12,9,0,0
2020-3-13,13,0,0
2020-3-14,22,0,0
2020-3-15,34,0,0
2020-3-16,54,0,0
2020-3-17,65,1,0
2020-3-18,93,1,0
2020-3-19,102,1,0
2020-3-20,128,1,0
2020-3-21,196,1,0
2020-3-22,231,3,2
2020-3-23,277,3,3
2020-3-24,378,6,3
2020-3-25,470,8,4
2020-3-26,491,8,6
2020-3-27,539,10,6
2020-3-28,608,10,6
2020-3-29,702,10,10
2020-3-30,798,15,12
2020-3-31,906,31,16
2020-4-1,1065,39,17
2020-4-2,1161,55,19
2020-4-3,1267,55,25
2020-4-4,1406,85,32
2020-4-5,1485,88,35
2020-4-6,1579,88,46
2020-4-7,1780,100,50
2020-4-8,2054,123,54
2020-4-9,2223,174,69
2020-4-10,2473,197,80
2020-4-11,2709,214,100
2020-4-12,2776,270,109
2020-4-13,2852,319,112
2020-4-14,2979,354,127
2020-4-15,3105,452,131
2020-4-16,3233,550,144
2020-4-17,3439,634,153
2020-4-18,3439,634,153
2020-4-19,3792,711,179
2020-4-20,3977,804,189
2020-4-21,4149,804,196
2020-4-22,4356,870,206
2020-4-23,4561,927,215
2020-4-24,4881,1003,225
2020-4-25,5142,1067,233
2020-4-26,5379,1133,244
2020-4-27,5597,1210,253
2020-4-28,5949,1268,269
2020-4-29,6207,1411,278
2020-4-30,6507,1439,293
2020-5-1,7006,1551,314
