date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,1,0,0
2020-3-12,1,0,0
2020-3-13,1,0,0
2020-3-14,1,0,0
2020-3-15,1,0,0
2020-3-16,1,0,0
2020-3-17,5,1,0
2020-3-18,6,1,0
2020-3-19,9,1,0
2020-3-20,9,1,0
2020-3-21,14,1,0
2020-3-22,14,1,0
2020-3-23,25,1,0
2020-3-24,73,2,0
2020-3-25,80,3,0
2020-3-26,96,3,0
2020-3-27,101,3,0
2020-3-28,101,3,0
2020-3-29,165,4,1
2020-3-30,168,6,1
2020-3-31,179,7,1
2020-4-1,190,9,1
2020-4-2,194,15,1
2020-4-3,218,19,1
2020-4-4,245,25,1
2020-4-5,261,37,3
2020-4-6,323,41,3
2020-4-7,349,41,3
2020-4-8,384,48,3
2020-4-9,444,52,3
2020-4-10,444,52,3
2020-4-11,533,58,4
2020-4-12,574,85,5
2020-4-13,626,89,6
2020-4-14,638,114,6
2020-4-15,638,114,6
2020-4-16,654,146,6
2020-4-17,688,193,6
2020-4-18,801,239,8
2020-4-19,847,260,9
2020-4-20,847,260,9
2020-4-21,916,303,13
2020-4-22,952,310,14
2020-4-23,1004,359,14
2020-4-24,1077,419,14
2020-4-25,1077,419,14
2020-4-26,1150,468,14
2020-4-27,1164,499,14
2020-4-28,1183,525,14
2020-4-29,1238,557,14
2020-4-30,1275,574,14
2020-5-1,1333,597,15
