date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,1,0,0
2020-2-26,3,0,0
2020-2-27,3,0,0
2020-2-28,5,0,0
2020-2-29,6,0,0
2020-3-1,7,0,0
2020-3-2,7,0,0
2020-3-3,9,0,0
2020-3-4,10,0,0
2020-3-5,10,0,0
2020-3-6,11,0,0
2020-3-7,12,0,0
2020-3-8,12,0,0
2020-3-9,12,0,0
2020-3-10,14,0,0
2020-3-11,19,0,0
2020-3-12,19,0,0
2020-3-13,32,1,0
2020-3-14,38,1,0
2020-3-15,49,1,0
2020-3-16,57,2,0
2020-3-17,65,4,0
2020-3-18,81,4,0
2020-3-19,105,5,1
2020-3-20,128,5,1
2020-3-21,206,5,1
2020-3-22,254,5,1
2020-3-23,315,5,1
2020-3-24,382,5,1
2020-3-25,442,22,1
2020-3-26,495,22,3
2020-3-27,586,37,3
2020-3-28,657,45,5
2020-3-29,713,52,6
2020-3-30,790,67,6
2020-3-31,867,67,6
2020-4-1,963,73,6
2020-4-2,1011,88,7
2020-4-3,1079,92,8
2020-4-4,1126,119,12
2020-4-5,1182,125,15
2020-4-6,1222,130,16
2020-4-7,1282,167,18
2020-4-8,1343,179,19
2020-4-9,1407,219,20
2020-4-10,1495,231,21
2020-4-11,1534,323,21
2020-4-12,1600,373,23
2020-4-13,1650,400,25
2020-4-14,1704,415,31
2020-4-15,1741,473,33
2020-4-16,1791,529,35
2020-4-17,1814,600,36
2020-4-18,1832,615,39
2020-4-19,1871,709,47
2020-4-20,1881,771,47
2020-4-21,1908,801,48
2020-4-22,1950,869,48
2020-4-23,1981,883,50
2020-4-24,2009,982,51
2020-4-25,2016,1034,54
2020-4-26,2030,1103,55
2020-4-27,2039,1166,59
2020-4-28,2047,1232,63
2020-4-29,2062,1288,67
2020-4-30,2076,1348,69
2020-5-1,2085,1421,75
2020-5-2,2088,1463,77
