date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,3,0,0
2020-3-13,4,0,0
2020-3-14,4,0,0
2020-3-15,4,0,0
2020-3-16,4,0,0
2020-3-17,5,0,0
2020-3-18,7,0,1
2020-3-19,11,0,1
2020-3-20,16,0,1
2020-3-21,21,0,1
2020-3-22,35,0,1
2020-3-23,40,0,1
2020-3-24,48,1,1
2020-3-25,57,1,1
2020-3-26,67,1,2
2020-3-27,80,4,2
2020-3-28,119,4,3
2020-3-29,139,4,3
2020-3-30,170,4,4
2020-3-31,186,8,6
2020-4-1,212,12,6
2020-4-2,233,13,6
2020-4-3,269,15,6
2020-4-4,288,15,6
2020-4-5,320,15,8
2020-4-6,350,18,9
2020-4-7,396,27,11
2020-4-8,457,27,12
2020-4-9,515,28,15
2020-4-10,564,51,15
2020-4-11,620,77,16
2020-4-12,669,92,18
2020-4-13,726,121,21
2020-4-14,766,132,21
2020-4-15,814,151,24
2020-4-16,862,171,27
2020-4-17,923,192,31
2020-4-18,986,227,32
2020-4-19,1035,255,34
2020-4-20,1087,285,36
2020-4-21,1137,309,38
2020-4-22,1189,341,40
2020-4-23,1235,365,43
2020-4-24,1285,416,49
2020-4-25,1337,437,51
2020-4-26,1369,501,54
2020-4-27,1389,525,56
2020-4-28,1437,575,58
2020-4-29,1467,617,58
2020-4-30,1501,681,61
2020-5-1,1537,714,64
