date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,2,0,0
2020-3-10,3,0,0
2020-3-11,6,0,0
2020-3-12,6,0,0
2020-3-13,14,0,0
2020-3-14,26,0,0
2020-3-15,26,0,0
2020-3-16,33,0,0
2020-3-17,46,0,0
2020-3-18,49,0,0
2020-3-19,67,0,0
2020-3-20,67,0,0
2020-3-21,84,0,0
2020-3-22,95,3,1
2020-3-23,116,3,1
2020-3-24,124,3,3
2020-3-25,132,3,3
2020-3-26,146,4,3
2020-3-27,162,15,5
2020-3-28,179,15,5
2020-3-29,214,15,5
2020-3-30,230,22,7
2020-3-31,262,23,8
2020-4-1,320,28,9
2020-4-2,356,28,10
2020-4-3,396,28,11
2020-4-4,426,33,11
2020-4-5,446,37,9
2020-4-6,465,45,9
2020-4-7,494,47,9
2020-4-8,526,52,9
2020-4-9,564,53,10
2020-4-10,595,58,10
2020-4-11,616,61,10
2020-4-12,633,65,11
2020-4-13,662,65,12
2020-4-14,695,65,12
2020-4-15,715,65,12
2020-4-16,735,77,12
2020-4-17,750,77,12
2020-4-18,761,79,12
2020-4-19,767,81,12
2020-4-20,772,81,12
2020-4-21,784,98,12
2020-4-22,790,98,13
2020-4-23,795,98,13
2020-4-24,804,98,14
2020-4-25,810,148,14
2020-4-26,817,148,14
2020-4-27,822,148,15
2020-4-28,837,148,15
2020-4-29,843,148,15
2020-4-30,850,296,15
2020-5-1,857,296,15
2020-5-2,864,296,15
