date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,3,0,0
2020-3-2,3,0,0
2020-3-3,5,0,0
2020-3-4,8,0,0
2020-3-5,12,0,0
2020-3-6,18,0,0
2020-3-7,19,0,0
2020-3-8,31,0,0
2020-3-9,31,0,0
2020-3-10,41,0,0
2020-3-11,91,0,0
2020-3-12,94,0,0
2020-3-13,141,0,0
2020-3-14,189,0,0
2020-3-15,253,0,0
2020-3-16,298,3,0
2020-3-17,396,3,0
2020-3-18,464,3,0
2020-3-19,694,3,0
2020-3-20,833,4,0
2020-3-21,995,6,0
2020-3-22,1120,6,1
2020-3-23,1236,6,1
2020-3-24,1394,10,3
2020-3-25,1654,10,6
2020-3-26,1925,10,9
2020-3-27,2279,11,9
2020-3-28,2631,11,11
2020-3-29,2817,11,16
2020-3-30,3001,25,23
2020-3-31,3308,45,31
2020-4-1,3508,61,39
2020-4-2,3858,67,44
2020-4-3,4091,72,53
2020-4-4,4472,78,59
2020-4-5,4587,96,67
2020-4-6,4822,121,78
2020-4-7,5017,172,88
2020-4-8,5312,233,99
2020-4-9,5569,301,112
2020-4-10,5732,346,119
2020-4-11,5831,411,129
2020-4-12,5991,464,138
2020-4-13,6059,519,143
2020-4-14,6111,642,161
2020-4-15,6216,819,166
2020-4-16,6433,972,169
2020-4-17,6549,1174,173
2020-4-18,6606,1227,181
2020-4-19,6746,1298,186
2020-4-20,6900,1559,194
2020-4-21,7033,1753,201
2020-4-22,7132,1989,208
2020-4-23,7187,2152,210
2020-4-24,7273,2371,214
2020-4-25,7352,2453,218
2020-4-26,7404,2545,220
2020-4-27,7445,2826,223
2020-4-28,7504,2948,227
2020-4-29,7579,3108,227
2020-4-30,7682,3314,236
2020-5-1,7737,3372,240
