date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,3,0,0
2020-3-1,4,0,0
2020-3-2,4,0,0
2020-3-3,6,0,0
2020-3-4,11,0,0
2020-3-5,11,0,0
2020-3-6,24,1,0
2020-3-7,24,1,0
2020-3-8,37,1,0
2020-3-9,92,1,0
2020-3-10,264,1,0
2020-3-11,444,1,0
2020-3-12,617,1,0
2020-3-13,804,1,0
2020-3-14,836,1,1
2020-3-15,875,1,2
2020-3-16,933,1,3
2020-3-17,1025,1,4
2020-3-18,1116,1,4
2020-3-19,1225,1,6
2020-3-20,1337,1,9
2020-3-21,1420,1,13
2020-3-22,1514,1,13
2020-3-23,1572,1,24
2020-3-24,1718,36,32
2020-3-25,1862,41,34
2020-3-26,2023,50,41
2020-3-27,2200,57,52
2020-3-28,2366,57,65
2020-3-29,2564,73,72
2020-3-30,2755,73,77
2020-3-31,3039,77,90
2020-4-1,3290,971,104
2020-4-2,3573,1172,123
2020-4-3,3946,1287,139
2020-4-4,4269,1379,161
2020-4-5,4561,1429,179
2020-4-6,4875,1489,187
2020-4-7,5266,1621,203
2020-4-8,5597,1763,218
2020-4-9,5830,1883,237
2020-4-10,6014,1929,247
2020-4-11,6191,2111,260
2020-4-12,6369,2291,273
2020-4-13,6513,2403,285
2020-4-14,6706,2689,299
2020-4-15,6876,2925,309
2020-4-16,7074,3203,321
2020-4-17,7268,3571,336
2020-4-18,7437,4031,346
2020-4-19,7580,4328,355
2020-4-20,7711,4499,364
2020-4-21,7891,4889,370
2020-4-22,8108,5276,384
2020-4-23,8271,5573,394
2020-4-24,8408,5715,403
2020-4-25,8643,5858,418
2020-4-26,8773,5994,422
2020-4-27,8896,6148,427
2020-4-28,9049,6313,434
2020-4-29,9206,6558,443
2020-4-30,9356,6741,452
2020-5-1,9509,6924,460
2020-5-2,9605,7084,475
