date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,61,0,0
2020-2-8,61,0,0
2020-2-9,64,0,0
2020-2-10,135,0,0
2020-2-11,135,0,0
2020-2-12,175,0,0
2020-2-13,175,0,0
2020-2-14,218,0,0
2020-2-15,285,0,0
2020-2-16,355,0,0
2020-2-17,454,0,0
2020-2-18,542,0,0
2020-2-19,621,1,0
2020-2-20,634,1,2
2020-2-21,634,1,2
2020-2-22,634,1,2
2020-2-23,691,0,3
2020-2-24,691,0,3
2020-2-25,691,0,3
2020-2-26,705,10,4
2020-2-27,705,10,4
2020-2-28,705,10,6
2020-2-29,705,10,6
2020-3-1,705,10,6
2020-3-2,705,10,6
2020-3-3,706,10,6
2020-3-4,706,10,6
2020-3-5,706,10,6
2020-3-6,706,40,6
2020-3-7,706,40,6
2020-3-8,706,40,6
2020-3-9,706,40,6
2020-3-10,706,40,6
2020-3-11,706,325,7
2020-3-12,706,325,7
2020-3-13,706,325,7
2020-3-14,706,325,7
2020-3-15,706,325,7
2020-3-16,706,325,7
2020-3-17,706,325,7
2020-3-18,712,325,7
2020-3-19,712,325,7
2020-3-20,712,325,7
2020-3-21,712,325,8
2020-3-22,712,325,8
2020-3-23,712,325,8
2020-3-24,712,325,10
2020-3-25,712,587,10
2020-3-26,712,597,10
2020-3-27,712,597,10
2020-3-28,712,597,10
2020-3-29,712,603,10
2020-3-30,712,603,10
2020-3-31,712,603,10
2020-4-1,712,603,11
2020-4-2,712,619,11
2020-4-3,712,619,11
2020-4-4,712,619,11
2020-4-5,712,619,11
2020-4-6,712,619,11
2020-4-7,712,619,11
2020-4-8,712,619,11
2020-4-9,712,619,11
2020-4-10,712,619,11
2020-4-11,712,619,11
2020-4-12,712,619,11
2020-4-13,712,619,11
2020-4-14,712,639,12
2020-4-15,712,639,12
2020-4-16,712,644,12
2020-4-17,712,644,13
2020-4-18,712,644,13
2020-4-19,712,644,13
2020-4-20,712,644,13
2020-4-21,712,644,13
2020-4-22,712,644,13
2020-4-23,712,645,13
2020-4-24,712,645,13
2020-4-25,712,645,13
2020-4-26,712,645,13
2020-4-27,712,645,13
2020-4-28,712,645,13
2020-4-29,712,645,13
2020-4-30,712,645,13
2020-5-1,712,645,13
2020-5-2,712,645,13
