date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,0,0,0
2020-3-19,0,0,0
2020-3-20,0,0,0
2020-3-21,0,0,0
2020-3-22,1,0,0
2020-3-23,2,0,0
2020-3-24,2,0,0
2020-3-25,7,0,0
2020-3-26,11,0,0
2020-3-27,11,0,0
2020-3-28,11,0,0
2020-3-29,11,0,0
2020-3-30,11,0,0
2020-3-31,12,0,0
2020-4-1,12,0,0
2020-4-2,12,0,0
2020-4-3,12,0,0
2020-4-4,14,0,0
2020-4-5,14,0,0
2020-4-6,15,1,0
2020-4-7,15,1,0
2020-4-8,15,1,0
2020-4-9,15,1,0
2020-4-10,16,5,0
2020-4-11,16,5,0
2020-4-12,16,8,0
2020-4-13,16,8,0
2020-4-14,16,8,0
2020-4-15,16,8,0
2020-4-16,16,8,0
2020-4-17,16,8,0
2020-4-18,16,8,0
2020-4-19,16,8,0
2020-4-20,16,8,0
2020-4-21,16,8,0
2020-4-22,16,9,0
2020-4-23,16,9,0
2020-4-24,16,10,0
2020-4-25,16,13,0
2020-4-26,16,13,0
2020-4-27,16,13,0
2020-4-28,16,13,0
2020-4-29,16,13,0
2020-4-30,16,13,0
2020-5-1,16,13,0
2020-5-2,16,13,0
