date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,2,0,0
2020-3-7,2,0,0
2020-3-8,5,0,0
2020-3-9,5,0,0
2020-3-10,5,0,0
2020-3-11,5,0,0
2020-3-12,5,0,0
2020-3-13,5,0,0
2020-3-14,11,0,0
2020-3-15,11,0,0
2020-3-16,11,0,0
2020-3-17,21,0,1
2020-3-18,21,0,1
2020-3-19,34,0,2
2020-3-20,72,0,2
2020-3-21,112,0,2
2020-3-22,202,0,3
2020-3-23,245,0,3
2020-3-24,312,3,6
2020-3-25,392,3,10
2020-3-26,488,3,10
2020-3-27,581,3,20
2020-3-28,719,3,28
2020-3-29,859,3,39
2020-3-30,901,4,42
2020-3-31,1109,5,51
2020-4-1,1284,9,57
2020-4-2,1380,16,60
2020-4-3,1488,16,68
2020-4-4,1488,16,68
2020-4-5,1745,17,82
2020-4-6,1828,33,86
2020-4-7,1956,36,98
2020-4-8,2111,50,108
2020-4-9,2349,80,118
2020-4-10,2620,98,126
2020-4-11,2759,108,135
2020-4-12,2967,131,173
2020-4-13,3167,152,177
2020-4-14,3286,162,183
2020-4-15,3614,208,189
2020-4-16,3755,215,196
2020-4-17,4126,268,200
2020-4-18,4335,312,217
2020-4-19,4680,363,226
2020-4-20,4964,416,235
2020-4-21,5044,463,245
2020-4-22,5300,581,260
2020-4-23,5543,581,265
2020-4-24,5749,763,267
2020-4-25,5926,822,273
2020-4-26,6135,910,278
2020-4-27,6293,993,282
2020-4-28,6416,1165,286
2020-4-29,6652,1228,293
2020-4-30,6972,1301,301
2020-5-1,7288,1387,313
