date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,6,0,0
2020-3-2,6,0,0
2020-3-3,7,0,0
2020-3-4,10,0,0
2020-3-5,13,0,0
2020-3-6,13,0,0
2020-3-7,13,0,0
2020-3-8,14,0,0
2020-3-9,15,0,0
2020-3-10,15,0,0
2020-3-11,17,0,0
2020-3-12,17,0,0
2020-3-13,17,0,0
2020-3-14,28,0,2
2020-3-15,28,0,2
2020-3-16,37,0,2
2020-3-17,58,0,2
2020-3-18,111,0,2
2020-3-19,199,0,3
2020-3-20,367,0,5
2020-3-21,506,3,7
2020-3-22,789,3,14
2020-3-23,981,3,18
2020-3-24,1082,3,27
2020-3-25,1173,3,28
2020-3-26,1403,3,34
2020-3-27,1595,3,36
2020-3-28,1823,3,48
2020-3-29,1924,3,58
2020-3-30,1962,3,60
2020-3-31,2240,54,75
2020-4-1,2748,58,93
2020-4-2,3163,65,120
2020-4-3,3368,65,145
2020-4-4,3465,100,172
2020-4-5,3646,100,180
2020-4-6,3747,100,191
2020-4-7,3747,100,191
2020-4-8,4450,140,242
2020-4-9,4965,339,272
2020-4-10,7161,368,297
2020-4-11,7257,411,315
2020-4-12,7466,501,333
2020-4-13,7529,597,355
2020-4-14,7603,696,369
2020-4-15,7858,780,388
2020-4-16,8225,838,403
2020-4-17,8450,838,421
2020-4-18,9022,1008,456
2020-4-19,9468,1061,474
2020-4-20,10128,1150,507
2020-4-21,10398,1207,520
2020-4-22,10850,1262,537
2020-4-23,11183,1328,560
2020-4-24,22719,1366,576
2020-4-25,22719,1366,576
2020-4-26,22719,1366,576
2020-4-27,23240,1557,663
2020-4-28,24258,1557,871
2020-4-29,24675,1557,883
2020-4-30,24934,1558,900
2020-5-1,26336,1913,1063
2020-5-2,27464,2132,1371
