date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,1,0,0
2020-2-15,1,0,0
2020-2-16,1,0,0
2020-2-17,1,0,0
2020-2-18,1,0,0
2020-2-19,1,0,0
2020-2-20,1,0,0
2020-2-21,1,0,0
2020-2-22,1,0,0
2020-2-23,1,0,0
2020-2-24,1,0,0
2020-2-25,1,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,1,1,0
2020-2-29,1,1,0
2020-3-1,2,1,0
2020-3-2,2,1,0
2020-3-3,2,1,0
2020-3-4,2,1,0
2020-3-5,3,1,0
2020-3-6,15,1,0
2020-3-7,15,1,0
2020-3-8,49,1,1
2020-3-9,55,1,1
2020-3-10,59,1,1
2020-3-11,60,27,1
2020-3-12,67,27,1
2020-3-13,80,27,2
2020-3-14,109,27,2
2020-3-15,110,21,2
2020-3-16,150,27,2
2020-3-17,196,32,4
2020-3-18,196,32,6
2020-3-19,256,32,6
2020-3-20,285,39,8
2020-3-21,294,41,10
2020-3-22,327,56,14
2020-3-23,366,56,19
2020-3-24,402,80,20
2020-3-25,456,95,21
2020-3-26,495,102,24
2020-3-27,536,116,30
2020-3-28,576,121,36
2020-3-29,609,132,40
2020-3-30,656,150,41
2020-3-31,710,157,46
2020-4-1,779,179,52
2020-4-2,865,201,58
2020-4-3,985,216,66
2020-4-4,1070,241,71
2020-4-5,1173,247,78
2020-4-6,1322,259,85
2020-4-7,1450,276,94
2020-4-8,1560,305,103
2020-4-9,1699,348,118
2020-4-10,1794,384,135
2020-4-11,1939,426,146
2020-4-12,2065,589,159
2020-4-13,2190,589,164
2020-4-14,2350,589,178
2020-4-15,2505,589,183
2020-4-16,2673,596,196
2020-4-17,2844,646,205
2020-4-18,3032,701,224
2020-4-19,3144,732,239
2020-4-20,3333,821,250
2020-4-21,3490,870,264
2020-4-22,3659,935,276
2020-4-23,3891,1004,287
2020-4-24,4092,1075,294
2020-4-25,4319,1114,307
2020-4-26,4534,1176,317
2020-4-27,4782,1236,337
2020-4-28,5042,1304,359
2020-4-29,5268,1335,380
2020-4-30,5537,1381,392
2020-5-1,5895,1460,406
2020-5-2,6193,1522,415
