date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,2,0,0
2020-3-4,2,0,0
2020-3-5,3,0,0
2020-3-6,10,0,0
2020-3-7,10,0,0
2020-3-8,10,0,0
2020-3-9,10,0,0
2020-3-10,12,0,0
2020-3-11,16,0,0
2020-3-12,16,0,0
2020-3-13,79,0,0
2020-3-14,115,0,0
2020-3-15,171,1,0
2020-3-16,205,1,0
2020-3-17,225,1,0
2020-3-18,258,1,0
2020-3-19,267,1,0
2020-3-20,283,1,0
2020-3-21,306,1,0
2020-3-22,326,2,0
2020-3-23,352,2,0
2020-3-24,369,7,0
2020-3-25,404,8,1
2020-3-26,538,8,1
2020-3-27,575,11,1
2020-3-28,645,20,1
2020-3-29,679,20,3
2020-3-30,715,20,3
2020-3-31,745,26,4
2020-4-1,779,33,5
2020-4-2,858,45,11
2020-4-3,961,48,12
2020-4-4,1039,59,13
2020-4-5,1097,62,15
2020-4-6,1108,62,19
2020-4-7,1149,69,21
2020-4-8,1185,72,24
2020-4-9,1207,83,24
2020-4-10,1258,93,24
2020-4-11,1304,93,24
2020-4-12,1309,98,25
2020-4-13,1332,102,28
2020-4-14,1373,115,31
2020-4-15,1400,117,35
2020-4-16,1434,133,36
2020-4-17,1459,145,38
2020-4-18,1512,162,38
2020-4-19,1528,164,40
2020-4-20,1535,165,40
2020-4-21,1552,169,43
2020-4-22,1559,184,44
2020-4-23,1592,192,45
2020-4-24,1605,206,46
2020-4-25,1635,228,46
2020-4-26,1643,233,49
2020-4-27,1647,233,50
2020-4-28,1660,240,50
2020-4-29,1666,236,50
2020-4-30,1689,249,52
2020-5-1,1694,253,52
