date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,1,0,0
2020-3-14,1,0,0
2020-3-15,1,0,0
2020-3-16,5,0,0
2020-3-17,5,0,0
2020-3-18,6,0,0
2020-3-19,6,0,0
2020-3-20,9,0,0
2020-3-21,9,0,0
2020-3-22,11,4,0
2020-3-23,11,4,0
2020-3-24,12,0,0
2020-3-25,12,0,0
2020-3-26,12,0,0
2020-3-27,16,0,0
2020-3-28,16,1,0
2020-3-29,21,1,0
2020-3-30,23,4,0
2020-3-31,26,2,0
2020-4-1,29,2,0
2020-4-2,29,3,0
2020-4-3,35,3,0
2020-4-4,38,4,0
2020-4-5,43,4,2
2020-4-6,44,4,2
2020-4-7,52,4,2
2020-4-8,55,4,2
2020-4-9,56,4,2
2020-4-10,65,4,3
2020-4-11,69,10,3
2020-4-12,71,10,3
2020-4-13,74,14,3
2020-4-14,82,14,3
2020-4-15,85,15,3
2020-4-16,92,15,3
2020-4-17,96,15,3
2020-4-18,105,16,3
2020-4-19,108,16,3
2020-4-20,111,16,3
2020-4-21,114,16,3
2020-4-22,116,21,3
2020-4-23,116,21,3
2020-4-24,117,25,3
2020-4-25,122,29,3
2020-4-26,123,41,3
2020-4-27,124,50,3
2020-4-28,126,50,3
2020-4-29,130,58,3
2020-4-30,131,59,3
2020-5-1,133,66,3
2020-5-2,133,69,3
