date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,1,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,1,0,0
2020-2-3,1,0,0
2020-2-4,1,0,0
2020-2-5,1,0,0
2020-2-6,1,0,0
2020-2-7,1,0,0
2020-2-8,1,0,0
2020-2-9,1,0,0
2020-2-10,1,0,0
2020-2-11,1,0,0
2020-2-12,1,1,0
2020-2-13,1,1,0
2020-2-14,1,1,0
2020-2-15,1,1,0
2020-2-16,1,1,0
2020-2-17,1,1,0
2020-2-18,1,1,0
2020-2-19,1,1,0
2020-2-20,1,1,0
2020-2-21,1,1,0
2020-2-22,1,1,0
2020-2-23,1,1,0
2020-2-24,1,1,0
2020-2-25,1,1,0
2020-2-26,2,1,0
2020-2-27,2,1,0
2020-2-28,2,1,0
2020-2-29,3,1,0
2020-3-1,6,1,0
2020-3-2,6,1,0
2020-3-3,6,1,0
2020-3-4,6,1,0
2020-3-5,12,1,0
2020-3-6,15,1,0
2020-3-7,15,1,0
2020-3-8,23,1,0
2020-3-9,30,1,0
2020-3-10,40,1,0
2020-3-11,59,1,0
2020-3-12,59,1,0
2020-3-13,155,1,0
2020-3-14,225,1,0
2020-3-15,244,10,0
2020-3-16,277,10,0
2020-3-17,321,10,0
2020-3-18,336,10,0
2020-3-19,400,10,0
2020-3-20,450,10,0
2020-3-21,523,10,1
2020-3-22,626,10,1
2020-3-23,700,10,1
2020-3-24,792,10,1
2020-3-25,880,10,3
2020-3-26,958,10,5
2020-3-27,1041,10,7
2020-3-28,1167,10,9
2020-3-29,1240,10,11
2020-3-30,1352,10,13
2020-3-31,1418,10,17
2020-4-1,1446,10,17
2020-4-2,1518,300,19
2020-4-3,1615,300,20
2020-4-4,1882,300,25
2020-4-5,1927,300,28
2020-4-6,2176,300,27
2020-4-7,2308,300,34
2020-4-8,2487,300,40
2020-4-9,2605,300,42
2020-4-10,2769,300,48
2020-4-11,2905,300,49
2020-4-12,2974,300,56
2020-4-13,3064,300,59
2020-4-14,3161,300,64
2020-4-15,3237,300,72
2020-4-16,3369,1700,75
2020-4-17,3489,1700,82
2020-4-18,3681,1700,90
2020-4-19,3783,1700,94
2020-4-20,3868,2000,98
2020-4-21,4014,2000,141
2020-4-22,4129,2000,149
2020-4-23,4284,2000,172
2020-4-24,4395,2500,177
2020-4-25,4475,2500,186
2020-4-26,4576,2500,190
2020-4-27,4695,2500,193
2020-4-28,4740,2800,199
2020-4-29,4906,2800,206
2020-4-30,4995,3000,211
2020-5-1,5051,3000,218
