date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,2,0,0
2020-1-25,3,0,0
2020-1-26,3,0,0
2020-1-27,3,0,0
2020-1-28,4,0,0
2020-1-29,5,0,0
2020-1-30,5,0,0
2020-1-31,5,0,0
2020-2-1,6,0,0
2020-2-2,6,0,0
2020-2-3,6,0,0
2020-2-4,6,0,0
2020-2-5,6,0,0
2020-2-6,6,0,0
2020-2-7,6,0,0
2020-2-8,11,0,0
2020-2-9,11,0,0
2020-2-10,11,0,0
2020-2-11,11,0,0
2020-2-12,11,2,0
2020-2-13,11,2,0
2020-2-14,11,2,0
2020-2-15,12,4,1
2020-2-16,12,4,1
2020-2-17,12,4,1
2020-2-18,12,4,1
2020-2-19,12,4,1
2020-2-20,12,4,1
2020-2-21,12,4,1
2020-2-22,12,4,1
2020-2-23,12,4,1
2020-2-24,12,4,1
2020-2-25,14,11,1
2020-2-26,18,11,2
2020-2-27,38,11,2
2020-2-28,57,11,2
2020-2-29,100,12,2
2020-3-1,130,12,2
2020-3-2,191,12,3
2020-3-3,204,12,4
2020-3-4,288,12,4
2020-3-5,380,12,6
2020-3-6,656,12,9
2020-3-7,959,12,11
2020-3-8,1136,12,19
2020-3-9,1219,12,19
2020-3-10,1794,12,33
2020-3-11,2293,12,48
2020-3-12,2293,12,48
2020-3-13,3681,12,79
2020-3-14,4496,12,91
2020-3-15,4532,12,91
2020-3-16,6683,12,149
2020-3-17,7715,12,149
2020-3-18,9124,12,149
2020-3-19,10970,12,244
2020-3-20,12758,12,451
2020-3-21,14463,12,563
2020-3-22,16243,2206,676
2020-3-23,20123,2206,862
2020-3-24,22622,3250,1102
2020-3-25,25600,3907,1333
2020-3-26,29551,4955,1698
2020-3-27,33402,5707,1997
2020-3-28,38105,5724,2317
2020-3-29,40708,7226,2611
2020-3-30,45170,7964,3030
2020-3-31,52827,9513,3532
2020-4-1,57749,11053,4414
2020-4-2,59929,12548,5398
2020-4-3,65202,14135,6520
2020-4-4,69500,15572,7574
2020-4-5,71412,16349,8093
2020-4-6,75343,17428,8926
2020-4-7,79163,19523,10343
2020-4-8,83057,21452,10887
2020-4-9,87366,23413,12228
2020-4-10,91738,25195,13215
2020-4-11,94863,26663,13851
2020-4-12,121712,27469,14412
2020-4-13,125394,28001,14986
2020-4-14,130365,28805,15731
2020-4-15,133585,30955,17169
2020-4-16,146075,32812,17922
2020-4-17,148084,34420,18683
2020-4-18,148086,35983,19325
2020-4-19,153011,36578,19720
2020-4-20,155393,37409,20267
2020-4-21,158168,39181,20798
2020-4-22,155980,40657,21342
2020-4-23,158303,42088,21858
2020-4-24,159952,43493,22248
2020-4-25,161644,44594,22617
2020-4-26,162220,44903,22859
2020-4-27,165963,45513,23296
2020-4-28,169053,46886,23663
2020-4-29,166543,48228,24090
2020-4-30,167299,49476,24379
2020-5-1,167305,50212,24597
2020-5-2,168518,50663,24763
