date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,1,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,3,0,0
2020-3-2,3,0,0
2020-3-3,3,0,0
2020-3-4,3,0,0
2020-3-5,4,0,0
2020-3-6,4,0,0
2020-3-7,4,0,0
2020-3-8,13,0,0
2020-3-9,15,0,0
2020-3-10,15,0,0
2020-3-11,24,0,0
2020-3-12,24,0,0
2020-3-13,25,0,0
2020-3-14,30,0,0
2020-3-15,33,0,0
2020-3-16,33,1,0
2020-3-17,34,1,0
2020-3-18,38,1,0
2020-3-19,40,1,0
2020-3-20,43,1,0
2020-3-21,49,1,0
2020-3-22,54,3,0
2020-3-23,61,3,0
2020-3-24,70,9,0
2020-3-25,75,10,0
2020-3-26,79,11,0
2020-3-27,83,14,0
2020-3-28,90,14,0
2020-3-29,91,18,0
2020-3-30,103,20,0
2020-3-31,110,21,0
2020-4-1,117,23,0
2020-4-2,134,26,0
2020-4-3,155,28,0
2020-4-4,162,36,1
2020-4-5,174,36,2
2020-4-6,188,39,2
2020-4-7,196,46,3
2020-4-8,211,50,3
2020-4-9,218,51,3
2020-4-10,234,54,3
2020-4-11,242,60,3
2020-4-12,257,67,3
2020-4-13,272,68,3
2020-4-14,300,69,3
2020-4-15,306,71,3
2020-4-16,348,76,3
2020-4-17,370,79,3
2020-4-18,388,86,4
2020-4-19,394,93,4
2020-4-20,402,95,4
2020-4-21,408,97,4
2020-4-22,416,107,5
2020-4-23,425,111,5
2020-4-24,444,132,5
2020-4-25,456,139,5
2020-4-26,486,149,6
2020-4-27,497,156,6
2020-4-28,511,168,6
2020-4-29,517,178,6
2020-4-30,539,184,6
2020-5-1,566,207,7
