date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,1,0,0
2020-1-28,4,0,0
2020-1-29,4,0,0
2020-1-30,4,0,0
2020-1-31,5,0,0
2020-2-1,8,0,0
2020-2-2,10,0,0
2020-2-3,12,0,0
2020-2-4,12,0,0
2020-2-5,12,0,0
2020-2-6,12,0,0
2020-2-7,13,0,0
2020-2-8,13,0,0
2020-2-9,14,0,0
2020-2-10,14,0,0
2020-2-11,16,0,0
2020-2-12,16,0,0
2020-2-13,16,1,0
2020-2-14,16,1,0
2020-2-15,16,1,0
2020-2-16,16,1,0
2020-2-17,16,1,0
2020-2-18,16,12,0
2020-2-19,16,12,0
2020-2-20,16,12,0
2020-2-21,16,14,0
2020-2-22,16,14,0
2020-2-23,16,14,0
2020-2-24,16,14,0
2020-2-25,17,14,0
2020-2-26,27,15,0
2020-2-27,46,16,0
2020-2-28,48,16,0
2020-2-29,79,16,0
2020-3-1,130,16,0
2020-3-2,159,16,0
2020-3-3,196,16,0
2020-3-4,262,16,0
2020-3-5,482,16,0
2020-3-6,670,17,0
2020-3-7,799,18,0
2020-3-8,1040,18,0
2020-3-9,1176,18,2
2020-3-10,1457,18,2
2020-3-11,1908,25,3
2020-3-12,2078,25,3
2020-3-13,3675,46,7
2020-3-14,4585,46,9
2020-3-15,5795,46,11
2020-3-16,7272,67,17
2020-3-17,9257,67,24
2020-3-18,12327,105,28
2020-3-19,15320,113,44
2020-3-20,19848,180,67
2020-3-21,22213,233,84
2020-3-22,24873,266,94
2020-3-23,29056,266,123
2020-3-24,32986,3243,157
2020-3-25,37323,3547,206
2020-3-26,43938,5673,267
2020-3-27,50871,6658,342
2020-3-28,57695,8481,433
2020-3-29,62095,9211,533
2020-3-30,66885,13500,645
2020-3-31,71808,16100,775
2020-4-1,77872,18700,920
2020-4-2,84794,22440,1107
2020-4-3,91159,24575,1275
2020-4-4,96092,26400,1444
2020-4-5,100123,28700,1584
2020-4-6,103374,28700,1810
2020-4-7,107663,36081,2016
2020-4-8,113296,46300,2349
2020-4-9,118181,52407,2607
2020-4-10,122171,53913,2767
2020-4-11,124908,57400,2736
2020-4-12,127854,60300,3022
2020-4-13,130072,64300,3194
2020-4-14,131359,68200,3294
2020-4-15,134753,72600,3804
2020-4-16,137698,77000,4052
2020-4-17,141397,83114,4352
2020-4-18,143342,85400,4459
2020-4-19,145184,88000,4586
2020-4-20,147065,91500,4862
2020-4-21,148291,95200,5033
2020-4-22,150648,99400,5279
2020-4-23,153129,103300,5575
2020-4-24,154999,109800,5760
2020-4-25,156513,109800,5877
2020-4-26,157770,112000,5976
2020-4-27,158758,114500,6126
2020-4-28,159912,117400,6314
2020-4-29,161539,120400,6467
2020-4-30,163009,123500,6623
2020-5-1,164077,126900,6736
2020-5-2,164967,129000,6812
