date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,1,0,0
2020-2-27,3,0,0
2020-2-28,4,0,0
2020-2-29,4,0,0
2020-3-1,7,0,0
2020-3-2,7,0,0
2020-3-3,7,0,0
2020-3-4,9,0,0
2020-3-5,31,0,0
2020-3-6,45,0,0
2020-3-7,46,0,0
2020-3-8,73,0,0
2020-3-9,73,0,0
2020-3-10,89,0,0
2020-3-11,99,0,1
2020-3-12,99,0,1
2020-3-13,190,0,1
2020-3-14,228,8,3
2020-3-15,331,8,4
2020-3-16,331,8,4
2020-3-17,387,8,5
2020-3-18,418,8,5
2020-3-19,418,8,6
2020-3-20,495,19,6
2020-3-21,530,19,13
2020-3-22,624,19,15
2020-3-23,695,19,17
2020-3-24,743,29,20
2020-3-25,821,36,22
2020-3-26,892,36,26
2020-3-27,966,52,28
2020-3-28,1061,52,32
2020-3-29,1156,52,38
2020-3-30,1212,52,43
2020-3-31,1314,52,49
2020-4-1,1415,52,50
2020-4-2,1544,61,53
2020-4-3,1613,78,63
2020-4-4,1673,78,68
2020-4-5,1735,78,73
2020-4-6,1755,269,79
2020-4-7,1832,269,81
2020-4-8,1884,269,83
2020-4-9,1955,269,87
2020-4-10,2011,269,92
2020-4-11,2081,269,93
2020-4-12,2114,269,98
2020-4-13,2145,269,99
2020-4-14,2170,269,101
2020-4-15,2192,269,102
2020-4-16,2207,269,105
2020-4-17,2224,269,108
2020-4-18,2235,269,110
2020-4-19,2235,269,113
2020-4-20,2245,269,116
2020-4-21,2401,577,121
2020-4-22,2408,577,121
2020-4-23,2463,577,125
2020-4-24,2490,577,130
2020-4-25,2506,577,130
2020-4-26,2517,577,134
2020-4-27,2534,577,136
2020-4-28,2566,577,138
2020-4-29,2576,577,139
2020-4-30,2591,1374,140
2020-5-1,2612,1374,140
2020-5-2,2620,1374,143
