date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,1,0,0
2020-3-15,1,0,0
2020-3-16,2,0,1
2020-3-17,6,0,1
2020-3-18,6,0,1
2020-3-19,9,0,1
2020-3-20,12,0,1
2020-3-21,17,0,1
2020-3-22,19,0,1
2020-3-23,20,0,1
2020-3-24,21,0,1
2020-3-25,24,4,1
2020-3-26,25,4,1
2020-3-27,28,4,1
2020-3-28,34,10,1
2020-3-29,34,10,1
2020-3-30,36,10,1
2020-3-31,38,12,1
2020-4-1,39,12,1
2020-4-2,47,12,1
2020-4-3,50,12,1
2020-4-4,61,15,2
2020-4-5,61,15,2
2020-4-6,70,15,3
2020-4-7,77,17,3
2020-4-8,87,17,3
2020-4-9,95,17,3
2020-4-10,126,17,3
2020-4-11,137,19,3
2020-4-12,155,19,5
2020-4-13,156,19,5
2020-4-14,167,19,5
2020-4-15,180,19,5
2020-4-16,196,19,5
2020-4-17,214,21,7
2020-4-18,235,21,7
2020-4-19,257,21,7
2020-4-20,289,21,7
2020-4-21,294,24,7
2020-4-22,316,24,8
2020-4-23,384,30,11
2020-4-24,430,30,11
2020-4-25,473,45,13
2020-4-26,500,49,15
2020-4-27,530,49,15
2020-4-28,530,49,15
2020-4-29,557,62,16
2020-4-30,599,66,16
2020-5-1,644,72,16
