date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,1,0,0
2020-3-14,1,0,0
2020-3-15,1,0,0
2020-3-16,1,0,0
2020-3-17,1,0,0
2020-3-18,1,0,0
2020-3-19,1,0,0
2020-3-20,1,0,0
2020-3-21,2,0,0
2020-3-22,2,0,0
2020-3-23,4,0,0
2020-3-24,4,0,0
2020-3-25,4,0,0
2020-3-26,4,0,0
2020-3-27,8,0,0
2020-3-28,8,0,0
2020-3-29,16,0,0
2020-3-30,22,0,0
2020-3-31,22,0,0
2020-4-1,30,0,0
2020-4-2,52,0,0
2020-4-3,73,2,0
2020-4-4,111,5,0
2020-4-5,121,5,0
2020-4-6,128,5,0
2020-4-7,144,5,0
2020-4-8,164,5,0
2020-4-9,194,11,0
2020-4-10,212,15,0
2020-4-11,250,17,0
2020-4-12,250,17,0
2020-4-13,319,17,0
2020-4-14,363,31,0
2020-4-15,404,31,1
2020-4-16,438,49,1
2020-4-17,477,59,3
2020-4-18,518,65,3
2020-4-19,579,87,5
2020-4-20,622,122,5
2020-4-21,688,127,6
2020-4-22,761,164,6
2020-4-23,862,170,6
2020-4-24,954,191,6
2020-4-25,996,208,7
2020-4-26,996,208,7
2020-4-27,1163,246,7
2020-4-28,1240,269,7
2020-4-29,1351,313,7
2020-4-30,1495,329,7
2020-5-1,1537,342,7
2020-5-2,1586,405,7
