date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,2,0,0
2020-3-5,2,0,0
2020-3-6,2,0,0
2020-3-7,4,0,0
2020-3-8,7,0,0
2020-3-9,9,0,0
2020-3-10,9,0,0
2020-3-11,13,0,0
2020-3-12,13,0,0
2020-3-13,19,0,0
2020-3-14,30,1,0
2020-3-15,32,1,1
2020-3-16,39,1,1
2020-3-17,50,2,1
2020-3-18,58,2,1
2020-3-19,73,2,1
2020-3-20,85,2,3
2020-3-21,103,7,4
2020-3-22,131,16,6
2020-3-23,167,16,7
2020-3-24,187,21,9
2020-3-25,226,21,10
2020-3-26,261,28,10
2020-3-27,300,34,10
2020-3-28,343,34,11
2020-3-29,408,34,13
2020-3-30,447,34,15
2020-3-31,492,37,16
2020-4-1,525,40,20
2020-4-2,585,42,21
2020-4-3,623,43,26
2020-4-4,678,58,32
2020-4-5,733,66,34
2020-4-6,744,67,38
2020-4-7,817,71,47
2020-4-8,895,94,58
2020-4-9,980,96,66
2020-4-10,1190,112,77
2020-4-11,1310,115,85
2020-4-12,1410,118,99
2020-4-13,1458,120,109
2020-4-14,1512,122,122
2020-4-15,1579,192,134
2020-4-16,1652,199,142
2020-4-17,1763,207,156
2020-4-18,1834,231,172
2020-4-19,1916,250,189
2020-4-20,1984,267,199
2020-4-21,2098,287,213
2020-4-22,2168,295,225
2020-4-23,2284,390,239
2020-4-24,2443,458,262
2020-4-25,2443,458,262
2020-4-26,2500,485,272
2020-4-27,2583,498,280
2020-4-28,2649,516,291
2020-4-29,2727,536,300
2020-4-30,2775,581,312
2020-5-1,2863,609,323
2020-5-2,2942,625,335
