date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,1,0,0
2020-2-29,1,0,0
2020-3-1,3,0,0
2020-3-2,6,0,0
2020-3-3,11,0,0
2020-3-4,26,0,0
2020-3-5,34,0,0
2020-3-6,43,0,0
2020-3-7,50,0,0
2020-3-8,50,0,0
2020-3-9,58,0,0
2020-3-10,69,1,0
2020-3-11,85,1,0
2020-3-12,103,1,0
2020-3-13,134,1,0
2020-3-14,156,1,0
2020-3-15,171,8,5
2020-3-16,180,0,0
2020-3-17,220,0,1
2020-3-18,250,5,1
2020-3-19,330,5,1
2020-3-20,409,5,0
2020-3-21,473,22,1
2020-3-22,568,36,1
2020-3-23,588,36,1
2020-3-24,648,51,2
2020-3-25,737,56,2
2020-3-26,802,82,2
2020-3-27,890,97,2
2020-3-28,963,114,2
2020-3-29,1020,135,2
2020-3-30,1086,157,2
2020-3-31,1135,198,2
2020-4-1,1220,225,2
2020-4-2,1319,284,4
2020-4-3,1364,309,4
2020-4-4,1417,396,4
2020-4-5,1486,428,4
2020-4-6,1562,460,6
2020-4-7,1586,559,6
2020-4-8,1616,633,6
2020-4-9,1648,688,6
2020-4-10,1675,751,7
2020-4-11,1689,841,8
2020-4-12,1701,889,8
2020-4-13,1711,933,8
2020-4-14,1720,989,8
2020-4-15,1727,1077,8
2020-4-16,1739,1144,8
2020-4-17,1754,1224,9
2020-4-18,1760,1291,9
2020-4-19,1771,1291,9
2020-4-20,1773,1362,10
2020-4-21,1778,1417,10
2020-4-22,1785,1462,10
2020-4-23,1789,1509,10
2020-4-24,1789,1542,10
2020-4-25,1790,1570,10
2020-4-26,1792,1608,10
2020-4-27,1792,1624,10
2020-4-28,1795,1636,10
2020-4-29,1797,1656,10
2020-4-30,1797,1670,10
2020-5-1,1798,1689,10
