date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,1,0,0
2020-1-31,1,0,0
2020-2-1,1,0,0
2020-2-2,2,0,0
2020-2-3,3,0,0
2020-2-4,3,0,0
2020-2-5,3,0,0
2020-2-6,3,0,0
2020-2-7,3,0,0
2020-2-8,3,0,0
2020-2-9,3,0,0
2020-2-10,3,0,0
2020-2-11,3,0,0
2020-2-12,3,0,0
2020-2-13,3,0,0
2020-2-14,3,0,0
2020-2-15,3,0,0
2020-2-16,3,3,0
2020-2-17,3,3,0
2020-2-18,3,3,0
2020-2-19,3,3,0
2020-2-20,3,3,0
2020-2-21,3,3,0
2020-2-22,3,3,0
2020-2-23,3,3,0
2020-2-24,3,3,0
2020-2-25,3,3,0
2020-2-26,3,3,0
2020-2-27,3,3,0
2020-2-28,3,3,0
2020-2-29,3,3,0
2020-3-1,3,3,0
2020-3-2,5,3,0
2020-3-3,5,3,0
2020-3-4,28,3,0
2020-3-5,30,3,0
2020-3-6,31,3,0
2020-3-7,34,3,0
2020-3-8,39,3,0
2020-3-9,43,3,0
2020-3-10,56,4,0
2020-3-11,62,4,1
2020-3-12,73,4,1
2020-3-13,82,4,2
2020-3-14,102,4,2
2020-3-15,113,13,2
2020-3-16,119,13,2
2020-3-17,142,14,3
2020-3-18,156,14,3
2020-3-19,194,15,4
2020-3-20,244,20,5
2020-3-21,330,23,4
2020-3-22,396,27,7
2020-3-23,499,27,10
2020-3-24,536,40,10
2020-3-25,657,43,12
2020-3-26,727,45,20
2020-3-27,887,73,20
2020-3-28,987,84,24
2020-3-29,1024,95,27
2020-3-30,1251,102,32
2020-3-31,1397,123,35
2020-4-1,1998,148,58
2020-4-2,2543,191,72
2020-4-3,2567,192,72
2020-4-4,3082,229,86
2020-4-5,3588,229,99
2020-4-6,4778,375,136
2020-4-7,5311,421,150
2020-4-8,5916,506,178
2020-4-9,6725,620,226
2020-4-10,7598,774,246
2020-4-11,8446,969,288
2020-4-12,9205,1080,331
2020-4-13,10453,1181,358
2020-4-14,11487,1359,393
2020-4-15,12322,1432,405
2020-4-16,13430,1768,448
2020-4-17,14352,2041,486
2020-4-18,15722,2463,521
2020-4-19,17615,2854,559
2020-4-20,18539,3273,592
2020-4-21,20080,3975,645
2020-4-22,21370,4370,681
2020-4-23,23077,5012,721
2020-4-24,24530,5498,780
2020-4-25,26283,5939,825
2020-4-26,27890,6523,881
2020-4-27,29451,7137,939
2020-4-28,31324,7747,1008
2020-4-29,33062,8437,1079
2020-4-30,34863,9068,1154
2020-5-1,37257,10007,1223
2020-5-2,39699,10819,1323
