date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,2,0,0
2020-3-3,2,0,0
2020-3-4,2,0,0
2020-3-5,2,0,0
2020-3-6,4,0,0
2020-3-7,4,0,0
2020-3-8,6,0,0
2020-3-9,19,0,0
2020-3-10,27,2,0
2020-3-11,34,2,1
2020-3-12,34,2,1
2020-3-13,69,2,4
2020-3-14,96,8,5
2020-3-15,117,8,5
2020-3-16,134,8,5
2020-3-17,172,8,5
2020-3-18,227,11,19
2020-3-19,311,11,25
2020-3-20,369,15,32
2020-3-21,450,15,38
2020-3-22,514,29,48
2020-3-23,579,29,49
2020-3-24,686,30,55
2020-3-25,790,31,58
2020-3-26,893,35,78
2020-3-27,1046,46,87
2020-3-28,1155,59,102
2020-3-29,1285,64,114
2020-3-30,1414,75,122
2020-3-31,1528,81,136
2020-4-1,1677,103,157
2020-4-2,1790,112,170
2020-4-3,1986,134,181
2020-4-4,2092,150,191
2020-4-5,2273,164,198
2020-4-6,2491,192,209
2020-4-7,2738,204,221
2020-4-8,2956,222,240
2020-4-9,3293,252,280
2020-4-10,3512,282,306
2020-4-11,3842,286,327
2020-4-12,4241,359,373
2020-4-13,4557,380,399
2020-4-14,4839,426,459
2020-4-15,5136,446,469
2020-4-16,5516,548,496
2020-4-17,5923,607,520
2020-4-18,6248,631,535
2020-4-19,6575,686,582
2020-4-20,6760,747,590
2020-4-21,7135,842,616
2020-4-22,7418,913,635
2020-4-23,7775,960,647
2020-4-24,8211,1002,689
2020-4-25,8607,1042,720
2020-4-26,8882,1107,743
2020-4-27,9096,1151,765
2020-4-28,9511,1254,773
2020-4-29,9771,1391,784
2020-4-30,10118,1522,792
2020-5-1,10551,1591,800
