date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,2,0,2
2020-2-20,5,0,2
2020-2-21,18,0,4
2020-2-22,28,0,5
2020-2-23,43,0,8
2020-2-24,61,0,12
2020-2-25,95,0,16
2020-2-26,139,49,19
2020-2-27,245,49,26
2020-2-28,388,73,34
2020-2-29,593,123,43
2020-3-1,978,175,54
2020-3-2,1501,291,66
2020-3-3,2336,291,77
2020-3-4,2922,552,92
2020-3-5,3513,739,107
2020-3-6,4747,913,124
2020-3-7,5823,1669,145
2020-3-8,6566,2134,194
2020-3-9,7161,2394,237
2020-3-10,8042,2731,291
2020-3-11,9000,2959,354
2020-3-12,10075,2959,429
2020-3-13,11364,2959,514
2020-3-14,12729,2959,611
2020-3-15,13938,4590,724
2020-3-16,14991,4590,853
2020-3-17,16169,5389,988
2020-3-18,17361,5389,1135
2020-3-19,18407,5710,1284
2020-3-20,19644,6745,1433
2020-3-21,20610,7635,1556
2020-3-22,21638,7931,1685
2020-3-23,23049,7931,1812
2020-3-24,24811,8913,1934
2020-3-25,27017,9625,2077
2020-3-26,29406,10457,2234
2020-3-27,32332,11133,2378
2020-3-28,35408,11679,2517
2020-3-29,38309,12391,2640
2020-3-30,41495,13911,2757
2020-3-31,44605,14656,2898
2020-4-1,47593,15473,3036
2020-4-2,50468,16711,3160
2020-4-3,53183,17935,3294
2020-4-4,55743,19736,3452
2020-4-5,58226,19736,3603
2020-4-6,60500,24236,3739
2020-4-7,62589,27039,3872
2020-4-8,64586,29812,3993
2020-4-9,66220,32309,4110
2020-4-10,68192,35465,4232
2020-4-11,70029,41947,4357
2020-4-12,71686,43894,4474
2020-4-13,73303,45983,4585
2020-4-14,74877,48129,4683
2020-4-15,76389,49933,4777
2020-4-16,77995,52229,4869
2020-4-17,79494,54064,4958
2020-4-18,80868,55987,5031
2020-4-19,82211,57023,5118
2020-4-20,83505,59273,5209
2020-4-21,84802,60965,5297
2020-4-22,85996,63113,5391
2020-4-23,87026,64843,5481
2020-4-24,88194,66599,5574
2020-4-25,89328,68193,5650
2020-4-26,90481,69657,5710
2020-4-27,91472,70933,5806
2020-4-28,92584,72439,5877
2020-4-29,93657,73791,5957
2020-4-30,94640,75103,6028
2020-5-1,95646,76318,6091
