date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,1,0,0
2020-2-25,1,0,0
2020-2-26,5,0,0
2020-2-27,7,0,0
2020-2-28,7,0,0
2020-2-29,13,0,0
2020-3-1,19,0,0
2020-3-2,26,0,0
2020-3-3,32,0,0
2020-3-4,35,0,2
2020-3-5,35,0,2
2020-3-6,40,0,3
2020-3-7,54,0,4
2020-3-8,60,0,6
2020-3-9,60,3,6
2020-3-10,71,3,7
2020-3-11,71,15,7
2020-3-12,71,15,8
2020-3-13,101,24,9
2020-3-14,110,26,10
2020-3-15,116,26,10
2020-3-16,124,26,10
2020-3-17,154,32,11
2020-3-18,164,43,12
2020-3-19,192,43,13
2020-3-20,208,49,17
2020-3-21,214,51,17
2020-3-22,233,57,20
2020-3-23,266,57,23
2020-3-24,316,75,27
2020-3-25,346,103,29
2020-3-26,382,105,36
2020-3-27,458,122,40
2020-3-28,506,131,42
2020-3-29,547,143,42
2020-3-30,630,152,46
2020-3-31,694,170,50
2020-4-1,728,182,52
2020-4-2,772,202,54
2020-4-3,820,226,54
2020-4-4,878,259,56
2020-4-5,961,279,61
2020-4-6,1031,344,64
2020-4-7,1122,373,65
2020-4-8,1202,452,69
2020-4-9,1232,496,69
2020-4-10,1279,550,70
2020-4-11,1318,601,72
2020-4-12,1352,640,76
2020-4-13,1378,717,78
2020-4-14,1400,766,78
2020-4-15,1415,812,79
2020-4-16,1434,856,80
2020-4-17,1482,906,81
2020-4-18,1513,953,82
2020-4-19,1539,1009,82
2020-4-20,1574,1043,82
2020-4-21,1602,1096,83
2020-4-22,1631,1146,83
2020-4-23,1677,1171,83
2020-4-24,1708,1204,86
2020-4-25,1763,1224,86
2020-4-26,1820,1263,87
2020-4-27,1847,1286,88
2020-4-28,1928,1319,90
2020-4-29,2003,1346,92
2020-4-30,2085,1375,93
2020-5-1,2153,1414,94
