date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,1,0,0
2020-3-1,1,0,0
2020-3-2,1,0,0
2020-3-3,2,0,0
2020-3-4,6,0,0
2020-3-5,6,0,0
2020-3-6,18,0,0
2020-3-7,18,0,0
2020-3-8,19,0,0
2020-3-9,21,0,0
2020-3-10,34,0,0
2020-3-11,43,0,1
2020-3-12,43,0,1
2020-3-13,90,0,1
2020-3-14,129,0,2
2020-3-15,129,0,2
2020-3-16,169,0,2
2020-3-17,223,5,2
2020-3-18,292,5,2
2020-3-19,557,5,3
2020-3-20,683,5,3
2020-3-21,785,5,3
2020-3-22,906,5,4
2020-3-23,1125,5,6
2020-3-24,1329,5,7
2020-3-25,1564,5,9
2020-3-26,1819,5,19
2020-3-27,2121,5,22
2020-3-28,2415,5,36
2020-3-29,2615,5,46
2020-3-30,2910,5,54
2020-3-31,3235,5,71
2020-4-1,3447,5,85
2020-4-2,3849,5,98
2020-4-3,4273,5,120
2020-4-4,4604,25,137
2020-4-5,4994,25,158
2020-4-6,5364,25,174
2020-4-7,5709,25,210
2020-4-8,6074,25,235
2020-4-9,6574,25,263
2020-4-10,8089,25,287
2020-4-11,8928,25,320
2020-4-12,9655,25,334
2020-4-13,10647,25,365
2020-4-14,11479,25,406
2020-4-15,12547,77,444
2020-4-16,13271,77,486
2020-4-17,13980,77,530
2020-4-18,14758,77,571
2020-4-19,15251,77,610
2020-4-20,15652,77,687
2020-4-21,16040,9233,730
2020-4-22,16671,9233,769
2020-4-23,17607,9233,794
2020-4-24,18184,9233,1014
2020-4-25,18561,9233,1063
2020-4-26,19262,9233,1087
2020-4-27,19648,9233,1102
2020-4-28,19877,9233,1159
2020-4-29,20253,13386,1190
2020-4-30,20612,13386,1232
2020-5-1,20833,13386,1265
