date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,1,0,0
2020-2-22,1,0,0
2020-2-23,1,0,0
2020-2-24,1,0,0
2020-2-25,1,0,0
2020-2-26,2,0,0
2020-2-27,3,1,0
2020-2-28,4,1,0
2020-2-29,7,1,0
2020-3-1,10,1,0
2020-3-2,10,1,0
2020-3-3,12,1,0
2020-3-4,15,1,0
2020-3-5,20,1,0
2020-3-6,37,2,0
2020-3-7,43,2,0
2020-3-8,61,2,0
2020-3-9,61,2,0
2020-3-10,75,4,0
2020-3-11,79,4,0
2020-3-12,100,4,0
2020-3-13,126,4,0
2020-3-14,155,4,0
2020-3-15,213,4,0
2020-3-16,218,4,0
2020-3-17,250,11,0
2020-3-18,304,11,0
2020-3-19,427,11,0
2020-3-20,529,14,0
2020-3-21,712,36,1
2020-3-22,883,37,1
2020-3-23,1071,37,1
2020-3-24,1238,53,3
2020-3-25,2369,58,5
2020-3-26,2693,68,8
2020-3-27,3035,79,12
2020-3-28,3619,89,12
2020-3-29,4247,132,15
2020-3-30,4695,161,16
2020-3-31,5358,224,20
2020-4-1,6092,241,26
2020-4-2,6857,338,36
2020-4-3,7428,403,40
2020-4-4,7851,427,44
2020-4-5,8430,477,49
2020-4-6,8904,585,57
2020-4-7,9248,770,65
2020-4-8,9404,801,73
2020-4-9,9968,1011,86
2020-4-10,10408,1183,95
2020-4-11,10743,1341,101
2020-4-12,11145,1627,103
2020-4-13,11586,1855,116
2020-4-14,12046,2195,123
2020-4-15,12501,2563,130
2020-4-16,12758,2818,142
2020-4-17,12982,3126,151
2020-4-18,13265,3456,164
2020-4-19,13491,3754,172
2020-4-20,13713,4049,177
2020-4-21,13942,4507,184
2020-4-22,14498,5215,189
2020-4-23,14803,5611,192
2020-4-24,15058,6003,194
2020-4-25,15298,6435,199
2020-4-26,15443,6731,201
2020-4-27,15555,7200,204
2020-4-28,15728,7746,210
2020-4-29,15834,8233,215
2020-4-30,15946,8561,222
2020-5-1,16101,9156,225
