date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,2,0,0
2020-2-1,2,0,0
2020-2-2,2,0,0
2020-2-3,2,0,0
2020-2-4,2,0,0
2020-2-5,2,0,0
2020-2-6,2,0,0
2020-2-7,3,0,0
2020-2-8,3,0,0
2020-2-9,3,0,0
2020-2-10,3,0,0
2020-2-11,3,0,0
2020-2-12,3,0,0
2020-2-13,3,0,0
2020-2-14,3,0,0
2020-2-15,3,0,0
2020-2-16,3,0,0
2020-2-17,3,0,0
2020-2-18,3,0,0
2020-2-19,3,0,0
2020-2-20,3,0,0
2020-2-21,20,0,1
2020-2-22,62,1,2
2020-2-23,155,2,3
2020-2-24,229,1,7
2020-2-25,322,1,10
2020-2-26,453,3,12
2020-2-27,655,45,17
2020-2-28,888,46,21
2020-2-29,1128,46,29
2020-3-1,1694,83,34
2020-3-2,2036,149,52
2020-3-3,2502,160,79
2020-3-4,3089,276,107
2020-3-5,3858,414,148
2020-3-6,4636,523,197
2020-3-7,5883,589,233
2020-3-8,7375,622,366
2020-3-9,9172,724,463
2020-3-10,10149,724,631
2020-3-11,12462,1045,827
2020-3-12,12462,1045,827
2020-3-13,17660,1439,1266
2020-3-14,21157,1966,1441
2020-3-15,24747,2335,1809
2020-3-16,27980,2749,2158
2020-3-17,31506,2941,2503
2020-3-18,35713,4025,2978
2020-3-19,41035,4440,3405
2020-3-20,47021,4440,4032
2020-3-21,53578,6072,4825
2020-3-22,59138,7024,5476
2020-3-23,63927,7024,6077
2020-3-24,69176,8326,6820
2020-3-25,74386,9362,7503
2020-3-26,80589,10361,8215
2020-3-27,86498,10950,9134
2020-3-28,92472,12384,10023
2020-3-29,97689,13030,10779
2020-3-30,101739,14620,11591
2020-3-31,105792,15729,12428
2020-4-1,110574,16847,13155
2020-4-2,115242,18278,13915
2020-4-3,119827,19758,14681
2020-4-4,124632,20996,15362
2020-4-5,128948,21815,15887
2020-4-6,132547,22837,16523
2020-4-7,135586,24392,17127
2020-4-8,139422,26491,17669
2020-4-9,143626,28470,18279
2020-4-10,147577,30455,18849
2020-4-11,152271,32534,19468
2020-4-12,156363,34211,19899
2020-4-13,159516,35435,20465
2020-4-14,162488,37130,21067
2020-4-15,165155,38092,21645
2020-4-16,168941,40164,22170
2020-4-17,172434,42727,22745
2020-4-18,175925,44927,23227
2020-4-19,178972,47055,23660
2020-4-20,181228,48877,24114
2020-4-21,183957,51600,24648
2020-4-22,187327,54543,25085
2020-4-23,189973,57576,25549
2020-4-24,192994,60498,25969
2020-4-25,195351,63120,26384
2020-4-26,197675,64928,26644
2020-4-27,199414,66624,26977
2020-4-28,201505,68941,27359
2020-4-29,203591,71252,27682
2020-4-30,205463,75945,27967
2020-5-1,207428,78249,28236
