date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,1,0,0
2020-3-12,2,0,0
2020-3-13,8,0,0
2020-3-14,8,0,0
2020-3-15,10,0,0
2020-3-16,10,2,0
2020-3-17,12,2,0
2020-3-18,13,2,0
2020-3-19,15,2,1
2020-3-20,16,2,1
2020-3-21,16,2,1
2020-3-22,19,2,1
2020-3-23,19,2,1
2020-3-24,21,2,1
2020-3-25,26,2,1
2020-3-26,26,2,1
2020-3-27,26,2,1
2020-3-28,30,2,1
2020-3-29,32,2,1
2020-3-30,36,2,1
2020-3-31,36,2,1
2020-4-1,44,2,3
2020-4-2,47,2,3
2020-4-3,47,2,3
2020-4-4,53,7,3
2020-4-5,58,8,3
2020-4-6,58,8,3
2020-4-7,63,8,3
2020-4-8,63,10,4
2020-4-9,63,12,4
2020-4-10,63,13,4
2020-4-11,65,13,4
2020-4-12,69,13,4
2020-4-13,73,19,4
2020-4-14,73,19,4
2020-4-15,125,21,5
2020-4-16,143,21,5
2020-4-17,143,25,5
2020-4-18,163,25,5
2020-4-19,173,27,5
2020-4-20,223,27,5
2020-4-21,223,27,6
2020-4-22,233,27,6
2020-4-23,257,28,6
2020-4-24,288,28,7
2020-4-25,305,28,7
2020-4-26,350,28,7
2020-4-27,364,29,7
2020-4-28,364,29,7
2020-4-29,396,29,7
2020-4-30,422,29,8
2020-5-1,432,31,8
2020-5-2,463,33,8
