date,confirmed,recovered,deaths
2020-1-22,2,0,0
2020-1-23,2,0,0
2020-1-24,2,0,0
2020-1-25,2,0,0
2020-1-26,4,1,0
2020-1-27,4,1,0
2020-1-28,7,1,0
2020-1-29,7,1,0
2020-1-30,11,1,0
2020-1-31,15,1,0
2020-2-1,20,1,0
2020-2-2,20,1,0
2020-2-3,20,1,0
2020-2-4,22,1,0
2020-2-5,22,1,0
2020-2-6,22,1,0
2020-2-7,25,1,0
2020-2-8,25,1,0
2020-2-9,26,1,0
2020-2-10,26,4,0
2020-2-11,26,9,0
2020-2-12,28,9,0
2020-2-13,28,9,1
2020-2-14,29,9,1
2020-2-15,43,12,1
2020-2-16,59,12,1
2020-2-17,66,12,1
2020-2-18,74,13,1
2020-2-19,84,18,1
2020-2-20,94,18,1
2020-2-21,105,22,1
2020-2-22,122,22,1
2020-2-23,147,22,1
2020-2-24,159,22,1
2020-2-25,170,22,1
2020-2-26,189,22,2
2020-2-27,214,22,4
2020-2-28,228,22,4
2020-2-29,241,32,5
2020-3-1,256,32,6
2020-3-2,274,32,6
2020-3-3,293,43,6
2020-3-4,331,43,6
2020-3-5,360,43,6
2020-3-6,420,46,6
2020-3-7,461,76,6
2020-3-8,502,76,6
2020-3-9,511,76,10
2020-3-10,581,101,10
2020-3-11,639,118,15
2020-3-12,639,118,16
2020-3-13,701,118,19
2020-3-14,773,118,22
2020-3-15,839,118,22
2020-3-16,839,144,27
2020-3-17,878,144,29
2020-3-18,889,144,29
2020-3-19,924,150,29
2020-3-20,963,191,33
2020-3-21,1007,232,35
2020-3-22,1101,235,41
2020-3-23,1128,235,42
2020-3-24,1193,285,43
2020-3-25,1307,310,45
2020-3-26,1387,359,47
2020-3-27,1468,372,49
2020-3-28,1693,404,52
2020-3-29,1866,424,54
2020-3-30,1866,424,54
2020-3-31,1953,424,56
2020-4-1,2178,472,57
2020-4-2,2495,472,62
2020-4-3,2617,514,63
2020-4-4,3139,514,77
2020-4-5,3139,514,77
2020-4-6,3654,575,85
2020-4-7,3906,592,92
2020-4-8,4257,622,93
2020-4-9,4667,632,94
2020-4-10,5530,685,99
2020-4-11,6005,762,99
2020-4-12,6748,762,108
2020-4-13,7370,784,123
2020-4-14,7645,799,143
2020-4-15,8100,853,146
2020-4-16,8626,901,178
2020-4-17,9787,935,190
2020-4-18,10296,1069,222
2020-4-19,10797,1159,236
2020-4-20,10797,1159,236
2020-4-21,11135,1239,263
2020-4-22,11512,1356,281
2020-4-23,12368,1494,328
2020-4-24,12829,1530,345
2020-4-25,13231,1656,360
2020-4-26,13441,1809,372
2020-4-27,14153,1899,385
2020-4-28,13736,1899,394
2020-4-29,13895,2368,413
2020-4-30,14088,2460,430
2020-5-1,14305,2975,455
2020-5-2,14571,3205,474
