date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,1,0,0
2020-3-9,1,0,0
2020-3-10,1,0,0
2020-3-11,1,0,0
2020-3-12,1,0,0
2020-3-13,1,1,0
2020-3-14,1,1,0
2020-3-15,8,1,0
2020-3-16,17,1,0
2020-3-17,34,1,0
2020-3-18,52,1,0
2020-3-19,69,1,0
2020-3-20,85,1,0
2020-3-21,85,1,0
2020-3-22,112,1,0
2020-3-23,127,1,0
2020-3-24,154,1,0
2020-3-25,172,1,0
2020-3-26,212,1,0
2020-3-27,235,18,1
2020-3-28,246,18,1
2020-3-29,259,18,3
2020-3-30,268,26,5
2020-3-31,274,30,5
2020-4-1,278,36,5
2020-4-2,299,45,5
2020-4-3,310,58,5
2020-4-4,323,74,5
2020-4-5,345,110,5
2020-4-6,349,126,6
2020-4-7,353,138,6
2020-4-8,358,150,6
2020-4-9,372,161,7
2020-4-10,372,170,7
2020-4-11,381,177,7
2020-4-12,389,201,7
2020-4-13,391,215,7
2020-4-14,397,235,7
2020-4-15,401,250,7
2020-4-16,402,259,7
2020-4-17,407,265,7
2020-4-18,413,269,7
2020-4-19,417,276,7
2020-4-20,425,282,7
2020-4-21,428,297,7
2020-4-22,435,315,7
2020-4-23,437,318,7
2020-4-24,441,326,7
2020-4-25,444,332,7
2020-4-26,447,337,7
2020-4-27,449,342,7
2020-4-28,449,348,8
2020-4-29,451,356,8
2020-4-30,453,362,8
2020-5-1,459,364,8
