date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,4,0,0
2020-3-14,6,0,0
2020-3-15,9,0,0
2020-3-16,10,0,0
2020-3-17,33,0,0
2020-3-18,35,0,0
2020-3-19,44,0,0
2020-3-20,49,0,3
2020-3-21,53,0,0
2020-3-22,60,0,0
2020-3-23,62,0,0
2020-3-24,72,0,0
2020-3-25,81,0,0
2020-3-26,111,2,1
2020-3-27,150,3,1
2020-3-28,228,16,1
2020-3-29,284,20,1
2020-3-30,302,21,1
2020-3-31,343,24,2
2020-4-1,380,26,3
2020-4-2,435,27,3
2020-4-3,464,29,6
2020-4-4,531,36,5
2020-4-5,584,42,6
2020-4-6,662,46,6
2020-4-7,697,51,6
2020-4-8,727,54,7
2020-4-9,781,60,8
2020-4-10,812,64,10
2020-4-11,865,81,10
2020-4-12,951,99,10
2020-4-13,1091,138,12
2020-4-14,1232,203,14
2020-4-15,1295,240,16
2020-4-16,1402,277,17
2020-4-17,1546,347,17
2020-4-18,1615,377,17
2020-4-19,1676,400,17
2020-4-20,1852,447,19
2020-4-21,1995,489,19
2020-4-22,2135,515,19
2020-4-23,2289,560,20
2020-4-24,2482,604,25
2020-4-25,2601,646,25
2020-4-26,2717,682,25
2020-4-27,2835,720,25
2020-4-28,3027,774,25
2020-4-29,3138,819,25
2020-4-30,3402,866,25
2020-5-1,3597,922,25
