date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,1,0,0
2020-3-14,1,0,0
2020-3-15,3,0,0
2020-3-16,3,0,0
2020-3-17,3,0,0
2020-3-18,3,0,0
2020-3-19,7,0,0
2020-3-20,7,0,0
2020-3-21,7,0,0
2020-3-22,15,0,0
2020-3-23,16,0,0
2020-3-24,25,0,0
2020-3-25,28,1,0
2020-3-26,31,1,1
2020-3-27,31,1,1
2020-3-28,38,1,1
2020-3-29,42,1,1
2020-3-30,50,1,1
2020-3-31,59,1,1
2020-4-1,81,3,1
2020-4-2,110,4,3
2020-4-3,122,4,4
2020-4-4,126,4,4
2020-4-5,142,4,4
2020-4-6,158,4,6
2020-4-7,172,7,6
2020-4-8,179,9,6
2020-4-9,184,12,7
2020-4-10,189,22,7
2020-4-11,191,24,7
2020-4-12,197,25,8
2020-4-13,208,40,9
2020-4-14,216,41,9
2020-4-15,225,53,10
2020-4-16,234,53,11
2020-4-17,246,53,11
2020-4-18,262,60,12
2020-4-19,270,67,14
2020-4-20,281,69,14
2020-4-21,296,74,14
2020-4-22,303,74,14
2020-4-23,320,89,14
2020-4-24,336,94,14
2020-4-25,343,98,14
2020-4-26,355,106,14
2020-4-27,363,114,14
2020-4-28,374,124,14
2020-4-29,384,129,15
2020-4-30,396,144,17
2020-5-1,411,150,21
