date,confirmed,recovered,deaths
2020-1-22,1,0,0
2020-1-23,1,0,0
2020-1-24,2,0,0
2020-1-25,2,0,0
2020-1-26,3,0,0
2020-1-27,4,0,0
2020-1-28,4,0,0
2020-1-29,4,0,0
2020-1-30,4,0,0
2020-1-31,11,0,0
2020-2-1,12,0,0
2020-2-2,15,0,0
2020-2-3,15,0,0
2020-2-4,16,0,0
2020-2-5,19,0,0
2020-2-6,23,0,0
2020-2-7,24,1,0
2020-2-8,24,1,0
2020-2-9,25,3,0
2020-2-10,27,3,0
2020-2-11,28,3,0
2020-2-12,28,7,0
2020-2-13,28,7,0
2020-2-14,28,7,0
2020-2-15,28,9,0
2020-2-16,29,9,0
2020-2-17,30,10,0
2020-2-18,31,12,0
2020-2-19,31,12,0
2020-2-20,104,16,1
2020-2-21,204,16,2
2020-2-22,433,16,2
2020-2-23,602,18,6
2020-2-24,833,18,8
2020-2-25,977,22,10
2020-2-26,1261,22,12
2020-2-27,1766,22,13
2020-2-28,2337,22,13
2020-2-29,3150,27,16
2020-3-1,3736,30,17
2020-3-2,4335,30,28
2020-3-3,5186,30,28
2020-3-4,5621,41,35
2020-3-5,6088,41,35
2020-3-6,6593,135,42
2020-3-7,7041,135,44
2020-3-8,7314,118,50
2020-3-9,7478,118,53
2020-3-10,7513,247,54
2020-3-11,7755,288,60
2020-3-12,7869,333,66
2020-3-13,7979,510,66
2020-3-14,8086,510,72
2020-3-15,8162,510,75
2020-3-16,8236,1137,75
2020-3-17,8320,1407,81
2020-3-18,8413,1540,84
2020-3-19,8565,1540,91
2020-3-20,8652,1540,94
2020-3-21,8799,1540,102
2020-3-22,8961,2909,111
2020-3-23,8961,2909,111
2020-3-24,9037,3507,120
2020-3-25,9137,3730,126
2020-3-26,9241,4144,131
2020-3-27,9332,4528,139
2020-3-28,9478,4811,144
2020-3-29,9583,5033,152
2020-3-30,9661,5228,158
2020-3-31,9786,5408,162
2020-4-1,9887,5567,165
2020-4-2,9976,5828,169
2020-4-3,10062,6021,174
2020-4-4,10156,6325,177
2020-4-5,10237,6463,183
2020-4-6,10284,6598,186
2020-4-7,10331,6694,192
2020-4-8,10384,6776,200
2020-4-9,10423,6973,204
2020-4-10,10450,7117,208
2020-4-11,10480,7243,211
2020-4-12,10512,7368,214
2020-4-13,10537,7447,217
2020-4-14,10564,7534,222
2020-4-15,10591,7616,225
2020-4-16,10613,7757,229
2020-4-17,10635,7829,230
2020-4-18,10653,7937,232
2020-4-19,10661,8042,234
2020-4-20,10674,8114,236
2020-4-21,10683,8213,237
2020-4-22,10694,8277,238
2020-4-23,10708,8501,240
2020-4-24,10718,8635,240
2020-4-25,10728,8717,242
2020-4-26,10738,8764,243
2020-4-27,10752,8854,244
2020-4-28,10761,8922,246
2020-4-29,10765,9059,247
2020-4-30,10774,9072,248
2020-5-1,10780,9123,250
