date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,0,0,0
2020-3-19,0,0,0
2020-3-20,0,0,0
2020-3-21,0,0,0
2020-3-22,0,0,0
2020-3-23,0,0,0
2020-3-24,0,0,0
2020-3-25,0,0,0
2020-3-26,71,0,1
2020-3-27,86,1,1
2020-3-28,91,1,1
2020-3-29,94,1,1
2020-3-30,94,1,1
2020-3-31,112,6,1
2020-4-1,125,10,1
2020-4-2,125,10,1
2020-4-3,126,10,1
2020-4-4,135,16,1
2020-4-5,145,23,1
2020-4-6,145,23,1
2020-4-7,170,24,4
2020-4-8,184,30,5
2020-4-9,184,30,5
2020-4-10,250,52,7
2020-4-11,283,58,7
2020-4-12,283,58,7
2020-4-13,283,58,7
2020-4-14,387,66,8
2020-4-15,387,66,8
2020-4-16,449,79,11
2020-4-17,480,84,12
2020-4-18,510,93,12
2020-4-19,561,102,12
2020-4-20,598,123,15
2020-4-21,604,128,18
2020-4-22,630,138,18
2020-4-23,669,159,19
2020-4-24,703,162,19
2020-4-25,731,165,20
2020-4-26,763,166,21
2020-4-27,780,201,22
2020-4-28,790,232,22
2020-4-29,799,249,22
2020-4-30,806,271,22
2020-5-1,806,271,22
