date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,1,0,0
2020-2-25,11,0,0
2020-2-26,26,0,0
2020-2-27,43,0,0
2020-2-28,45,0,0
2020-2-29,45,0,0
2020-3-1,45,0,0
2020-3-2,56,0,0
2020-3-3,56,0,0
2020-3-4,56,0,0
2020-3-5,58,0,0
2020-3-6,58,0,0
2020-3-7,61,0,0
2020-3-8,64,1,0
2020-3-9,64,1,0
2020-3-10,69,1,0
2020-3-11,72,2,0
2020-3-12,80,5,0
2020-3-13,80,5,0
2020-3-14,104,5,0
2020-3-15,112,5,0
2020-3-16,123,9,0
2020-3-17,130,9,0
2020-3-18,142,15,0
2020-3-19,148,18,0
2020-3-20,159,18,0
2020-3-21,176,27,0
2020-3-22,188,27,0
2020-3-23,189,27,0
2020-3-24,191,39,0
2020-3-25,195,43,0
2020-3-26,208,49,0
2020-3-27,225,57,0
2020-3-28,235,64,0
2020-3-29,255,67,0
2020-3-30,266,72,0
2020-3-31,289,73,0
2020-4-1,317,80,0
2020-4-2,342,81,0
2020-4-3,417,82,0
2020-4-4,479,93,1
2020-4-5,556,99,1
2020-4-6,665,103,1
2020-4-7,743,105,1
2020-4-8,855,111,1
2020-4-9,910,111,1
2020-4-10,993,123,1
2020-4-11,1154,133,1
2020-4-12,1234,142,1
2020-4-13,1300,150,2
2020-4-14,1355,176,3
2020-4-15,1405,206,3
2020-4-16,1524,225,3
2020-4-17,1658,258,5
2020-4-18,1751,280,6
2020-4-19,1915,305,7
2020-4-20,1995,367,9
2020-4-21,2080,412,11
2020-4-22,2248,443,13
2020-4-23,2399,498,14
2020-4-24,2614,613,15
2020-4-25,2892,656,19
2020-4-26,3075,806,20
2020-4-27,3288,1012,22
2020-4-28,3440,1176,23
2020-4-29,3740,1389,24
2020-4-30,4024,1539,26
2020-5-1,4377,1602,30
