date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,0,0,0
2020-3-17,0,0,0
2020-3-18,3,0,0
2020-3-19,3,0,0
2020-3-20,6,0,0
2020-3-21,14,0,0
2020-3-22,14,0,0
2020-3-23,16,0,0
2020-3-24,42,0,0
2020-3-25,44,0,0
2020-3-26,44,0,0
2020-3-27,58,0,0
2020-3-28,58,0,0
2020-3-29,84,0,0
2020-3-30,94,3,0
2020-3-31,107,3,0
2020-4-1,111,3,0
2020-4-2,116,5,0
2020-4-3,130,6,1
2020-4-4,144,9,1
2020-4-5,147,9,1
2020-4-6,216,33,4
2020-4-7,228,33,4
2020-4-8,270,33,4
2020-4-9,280,35,4
2020-4-10,298,35,5
2020-4-11,339,44,5
2020-4-12,377,54,5
2020-4-13,419,67,5
2020-4-14,430,71,5
2020-4-15,449,78,5
2020-4-16,466,91,5
2020-4-17,489,114,5
2020-4-18,506,130,5
2020-4-19,554,133,5
2020-4-20,568,201,7
2020-4-21,590,216,7
2020-4-22,612,254,7
2020-4-23,631,302,8
2020-4-24,665,345,8
2020-4-25,665,345,8
2020-4-26,682,370,8
2020-4-27,695,395,8
2020-4-28,708,416,8
2020-4-29,729,437,8
2020-4-30,746,462,8
2020-5-1,756,504,8
2020-5-2,769,527,8
