date,confirmed,recovered,deaths
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,1,0,0
2020-3-3,1,0,0
2020-3-4,1,0,0
2020-3-5,1,0,0
2020-3-6,1,0,0
2020-3-7,1,0,0
2020-3-8,2,0,0
2020-3-9,6,0,0
2020-3-10,8,1,0
2020-3-11,10,1,0
2020-3-12,10,1,0
2020-3-13,17,1,0
2020-3-14,26,1,0
2020-3-15,30,1,0
2020-3-16,34,1,0
2020-3-17,49,1,0
2020-3-18,71,1,0
2020-3-19,86,1,0
2020-3-20,111,1,0
2020-3-21,124,1,0
2020-3-22,139,1,0
2020-3-23,180,1,0
2020-3-24,197,1,0
2020-3-25,221,1,0
2020-3-26,244,1,0
2020-3-27,280,1,0
2020-3-28,305,1,0
2020-3-29,347,1,0
2020-3-30,376,1,0
2020-3-31,398,1,0
2020-4-1,446,1,0
2020-4-2,458,31,0
2020-4-3,493,1,1
2020-4-4,509,1,1
2020-4-5,533,1,1
2020-4-6,542,16,1
2020-4-7,548,16,2
2020-4-8,577,16,2
2020-4-9,589,16,3
2020-4-10,612,16,3
2020-4-11,630,16,3
2020-4-12,651,16,5
2020-4-13,655,16,5
2020-4-14,657,16,5
2020-4-15,666,44,5
2020-4-16,675,57,5
2020-4-17,682,88,5
2020-4-18,712,88,5
2020-4-19,727,88,5
2020-4-20,739,88,5
2020-4-21,748,133,9
2020-4-22,761,133,11
2020-4-23,778,133,11
2020-4-24,784,267,12
2020-4-25,804,267,12
2020-4-26,812,267,12
2020-4-27,818,267,13
2020-4-28,836,267,13
2020-4-29,849,348,15
2020-4-30,858,348,15
2020-5-1,870,348,16
